frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
11001,-0.881408,0.206002,-0.1209039,0.4075115,344.6566,23.27286,307.196
11002,-0.8849986,0.2079669,-0.1196854,0.3990024,344.1815,23.12085,308.2079
11003,-0.8794049,0.2135213,-0.1191021,0.4084978,343.845,23.55989,306.7782
11004,-0.8821694,0.2165501,-0.1177908,0.401259,343.2893,23.48034,307.5862
11005,-0.8821393,0.2158397,-0.1189143,0.4013765,343.4207,23.55819,307.588
11006,-0.877483,0.2220691,-0.1161037,0.4089364,342.8565,23.78471,306.3896
11007,-0.8763033,0.2248366,-0.1166122,0.409808,342.6341,24.03011,306.15
11008,-0.8750463,0.2302014,-0.1141268,0.4102151,341.9865,24.11855,305.8875
11009,-0.8737289,0.2350442,-0.113361,0.4104894,341.4784,24.35705,305.6397
11010,-0.8738774,0.2362774,-0.1110446,0.4100981,341.2235,24.1844,305.6627
11011,-0.8728708,0.2369749,-0.1094183,0.4122708,341.1267,24.1023,305.3714
11012,-0.8692448,0.2417789,-0.102505,0.418867,340.4604,23.82956,304.382
11013,-0.8689398,0.2449861,-0.1022345,0.4177006,340.1018,23.99192,304.3836
11014,-0.8666345,0.2489067,-0.0984107,0.4210767,339.6016,23.93035,303.8051
11015,-0.861076,0.2545409,-0.09490269,0.4298262,339.0977,24.15343,302.4256
11016,-0.8561627,0.2541275,-0.09196258,0.4403948,339.2587,24.06219,301.0919
11017,-0.8566053,0.2558593,-0.09073156,0.438784,338.9785,24.02079,301.2329
11018,-0.8555677,0.2608757,-0.0888927,0.4382306,338.3779,24.17812,301.0718
11019,-0.8546956,0.2638204,-0.08939248,0.4380678,338.1207,24.4407,300.9316
11020,-0.8536355,0.2688248,-0.0885675,0.4372591,337.5732,24.7026,300.7827
11021,-0.8532622,0.2682591,-0.08996329,0.4380494,337.7299,24.82605,300.6884
11022,-0.8529894,0.2707914,-0.08917674,0.4371827,337.4189,24.91001,300.6772
11023,-0.8442737,0.2720169,-0.078134,0.4550867,337.1576,24.31867,298.3634
11024,-0.8327731,0.2726721,-0.0757615,0.4758144,337.5392,24.66579,295.5445
11025,-0.8323253,0.2739705,-0.07463068,0.4760304,337.3555,24.66012,295.4551
11026,-0.8314025,0.2755843,-0.07527098,0.4766104,337.2635,24.8682,295.2755
11027,-0.8222043,0.2759943,-0.06943312,0.4929366,337.3317,24.74677,293.0765
