frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
4651,-0.9896654,-0.03048294,-0.1394091,-0.0140774,3.233817,16.09533,2.087232
4654,-0.9895279,-0.03027669,-0.1399954,-0.01786883,3.148046,16.17434,2.516486
4665,-0.9895819,-0.03117853,-0.1393876,-0.01807386,3.248628,16.1077,2.552483
4674,-0.9896683,-0.02978701,-0.1387677,-0.02032629,3.056303,16.03782,2.78387
4679,-0.989509,-0.03077703,-0.1396498,-0.02056016,3.162376,16.14436,2.829276
4684,-0.9898461,-0.02480977,-0.1388395,0.01768718,3.097031,15.92522,358.3859
4689,-0.9896433,-0.02331489,-0.1399677,0.02171404,2.993655,16.04551,357.9081
4693,-0.9896775,-0.01947053,-0.1331766,0.04922765,2.960704,15.19094,354.6997
4699,-0.988565,-0.01595388,-0.1331778,0.06891027,2.860105,15.15532,352.4056
4707,-0.9874162,-0.01433044,-0.1332672,0.08392735,2.904406,15.13596,350.6694
4712,-0.9860954,-0.013229,-0.1337555,0.09772635,2.994091,15.16281,349.079
4717,-0.9860473,-0.01405105,-0.1312905,0.1013719,3.114319,14.85936,348.6667
4723,-0.9858491,-0.01202004,-0.1316101,0.1031318,2.914534,14.91281,348.4373
4731,-0.9870542,-0.01611144,-0.1324641,0.08898294,3.174653,15.01243,350.1158
4740,-0.98667,-0.01460732,-0.1338769,0.09135756,3.05454,15.1821,349.8271
4752,-0.9866514,-0.01553914,-0.1361093,0.08804578,3.131692,15.44101,350.2259
4761,-0.9874972,-0.01897671,-0.136467,0.07659058,3.347007,15.49,351.5853
4767,-0.9880552,-0.02101562,-0.136621,0.06811855,3.447965,15.52147,352.5823
4778,-0.9877068,-0.01725393,-0.13541,0.07616927,3.136322,15.38238,351.6041
4784,-0.9882063,-0.01684126,-0.1356521,0.06901674,2.981287,15.4347,352.4139
4798,-0.9887184,-0.01878517,-0.1368057,0.05802952,3.039479,15.58826,353.6983
4813,-0.9886697,-0.01774777,-0.1388499,0.0542047,2.874359,15.84123,354.1237
4832,-0.9894383,-0.01789197,-0.1357013,0.04771767,2.771716,15.49421,354.855
4846,-0.9896436,-0.01870219,-0.1348287,0.04557759,2.826248,15.39564,355.1084
4858,-0.9899986,-0.02092227,-0.1363028,0.02977706,2.839792,15.6026,356.9435
4864,-0.990287,-0.02243519,-0.1345929,0.02670516,2.959106,15.41017,357.311
4868,-0.9901987,-0.02253011,-0.1356525,0.02444644,2.937753,15.53912,357.5724
4872,-0.9902804,-0.02325495,-0.1357818,0.01916859,2.938461,15.56821,358.1839
4875,-0.990094,-0.02532923,-0.1369636,0.01770357,3.153211,15.70751,358.3863
4883,-0.9900301,-0.02447466,-0.1378508,0.01544945,3.022077,15.81759,358.6319
4890,-0.9902418,-0.02640808,-0.1367419,0.005074455,3.077606,15.72008,359.8377
4895,-0.9900897,-0.02693623,-0.1377794,0.003736441,3.116603,15.84468,0.001359511
4903,-0.9897083,-0.02749999,-0.1403137,-0.005792158,3.027112,16.1675,1.100671
4913,-0.9898444,-0.02738338,-0.1394088,-0.004858679,3.029831,16.0597,0.9899937
4923,-0.9896744,-0.02955956,-0.1401678,-0.004889887,3.275542,16.15188,1.031081
4932,-0.9900141,-0.02933669,-0.1378525,-0.002905843,3.284062,15.8769,0.7944135
4942,-0.9898393,-0.03092429,-0.138761,-0.002715789,3.466588,15.9843,0.8012586
4951,-0.9902965,-0.02793224,-0.135942,0.00725417,3.284542,15.6216,359.6113
4961,-0.9902295,-0.02808168,-0.1362265,0.009970115,3.344018,15.64584,359.3058
4969,-0.9897043,-0.02598199,-0.1386173,0.02440753,3.336246,15.87715,357.64
4978,-0.9899435,-0.02585681,-0.1363516,0.02741725,3.363493,15.60514,357.2881
4983,-0.9894942,-0.03808769,-0.1392567,-0.007627584,4.200719,16.076,1.476794
4987,-0.9871984,-0.04317377,-0.1417426,-0.05902909,3.928313,16.59616,7.416966
4988,-0.9841173,-0.0481633,-0.1415812,-0.09564709,3.88264,16.77061,11.6749
4989,-0.984414,-0.04934506,-0.1403534,-0.09378298,4.061456,16.63693,11.47812
4990,-0.9821452,-0.05029112,-0.1410399,-0.113884,3.822285,16.80654,13.79316
4991,-0.9812699,-0.05089023,-0.1407691,-0.1212589,3.769062,16.812,14.64621
4992,-0.9711953,-0.053997,-0.1433782,-0.1825017,3.012265,17.37462,21.74555
4993,-0.9712356,-0.05527581,-0.1418145,-0.1831247,3.17766,17.22775,21.8368
4994,-0.9603108,-0.06039017,-0.1440256,-0.2311123,2.832395,17.75245,27.50583
4994,-0.9610842,-0.0591043,-0.1399026,-0.2307623,2.810909,17.25058,27.42944
4995,-0.9592001,-0.06089444,-0.1420934,-0.2367205,2.839999,17.5653,28.16483
4996,-0.9532738,-0.06481803,-0.1432075,-0.2579913,2.847975,17.86985,30.73504
4998,-0.9386083,-0.06890918,-0.1443625,-0.305656,2.355917,18.26362,36.45423
4999,-0.9381595,-0.06931289,-0.1431693,-0.3074984,2.407383,18.15166,36.67957
5000,-0.9221205,-0.07397613,-0.1434429,-0.3516329,2.03737,18.4676,42.07802
5001,-0.9191194,-0.07367621,-0.1408429,-0.3604924,1.942064,18.19196,43.14267
5002,-0.9176655,-0.07307623,-0.144404,-0.3629018,1.679586,18.55439,43.4282
5003,-0.9072709,-0.07839693,-0.1446199,-0.3870381,1.736768,18.85974,46.49427
5004,-0.9074124,-0.07663566,-0.1419311,-0.3880534,1.657605,18.49308,46.57766
5005,-0.8924009,-0.07935019,-0.1397619,-0.4216526,1.361614,18.44855,50.8019
5006,-0.8916194,-0.07903959,-0.1396556,-0.4233958,1.299994,18.42426,51.01334
5006,-0.8922489,-0.07587437,-0.1406277,-0.4223258,0.952086,18.36568,50.81286
5007,-0.8753729,-0.08344485,-0.141681,-0.4546272,0.9893569,18.90307,55.05516
5008,-0.8690692,-0.08412097,-0.1448694,-0.4654626,0.6503949,19.27695,56.45635
5009,-0.8659401,-0.08481009,-0.1377075,-0.4732777,0.9473246,18.59121,57.47249
5010,-0.8656694,-0.08444649,-0.1400584,-0.473148,0.7831892,18.80994,57.44902
5011,-0.8537551,-0.08715203,-0.1396162,-0.493978,0.6232927,18.93636,60.21082
5012,-0.8543142,-0.08496335,-0.1398356,-0.4933301,0.4125641,18.83025,60.07763
5013,-0.8357366,-0.08685428,-0.1377199,-0.524437,0.04146694,18.74122,64.22459
5014,-0.8361906,-0.0895441,-0.1368201,-0.5234954,0.3725689,18.81866,64.15882
5015,-0.8263543,-0.0899892,-0.1321392,-0.5399814,0.3449514,18.39573,66.3811
5016,-0.8254815,-0.09333405,-0.1357606,-0.5398502,0.4303137,18.96058,66.4398
5017,-0.8179415,-0.0900965,-0.1332728,-0.5523521,0.009186605,18.51474,68.06345
5018,-0.817769,-0.09250806,-0.1338172,-0.5520773,0.203149,18.72391,68.08021
5019,-0.8108117,-0.09118712,-0.1293394,-0.5635074,0.1205367,18.21054,69.61728
5020,-0.8100549,-0.08848098,-0.1276605,-0.565407,359.942,17.87129,69.8199
