frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
12001,-0.9877058,0.009344097,-0.1381479,0.07256153,0.09110068,15.91764,351.6094
12002,-0.9889449,0.00924129,-0.1389427,0.05096946,359.7643,16.00718,354.0661
12003,-0.9897906,0.007314916,-0.1387112,0.03194384,359.6781,15.96569,356.2579
12004,-0.9901134,0.004695821,-0.140065,0.005938688,359.5625,16.10653,359.2508
12005,-0.9899526,0.00135929,-0.1395569,-0.02272168,359.4824,16.03704,2.556767
12006,-0.9898106,-0.0001399815,-0.1391635,-0.03014297,359.5352,15.99231,3.423315
12007,-0.9873432,-0.004904315,-0.140178,-0.07402541,359.3658,16.11407,8.485606
12008,-0.9869031,-0.006131329,-0.1387284,-0.08209328,359.3883,15.9528,9.424436
12009,-0.9826791,-0.008784477,-0.1386826,-0.1226043,359.0407,15.94733,14.08918
12010,-0.9796372,-0.01283517,-0.136572,-0.1466096,359.1464,15.74614,16.90505
12011,-0.9754018,-0.01684405,-0.135969,-0.1726852,359.1921,15.72932,19.96764
12012,-0.9713869,-0.01977502,-0.1363835,-0.1934323,359.1782,15.82145,22.40979
12013,-0.9638447,-0.02293496,-0.1371455,-0.2273075,358.9608,15.95281,26.39405
12014,-0.9566835,-0.0305803,-0.1473765,-0.2492024,359.1439,17.29309,29.07037
12014,-0.9593948,-0.02527682,-0.1371173,-0.2451974,358.9262,15.99439,28.5221
12015,-0.9476175,-0.03066052,-0.1424399,-0.2842396,358.6898,16.70608,33.20105
12016,-0.9433937,-0.03300755,-0.1384307,-0.2995927,358.8158,16.32151,35.06665
12017,-0.9392667,-0.03598937,-0.1383201,-0.3120104,358.9281,16.4003,36.59696
12018,-0.934395,-0.03622738,-0.1408534,-0.3251988,358.63,16.67064,38.17826
12019,-0.926926,-0.03765872,-0.1341737,-0.3484071,358.6431,15.96538,41.00954
12020,-0.9159416,-0.0425888,-0.1371607,-0.3747321,358.5801,16.45536,44.29581
12021,-0.9094666,-0.04609016,-0.1361421,-0.3901432,358.7168,16.47924,46.25093
12022,-0.9044003,-0.04835226,-0.1339759,-0.4022096,358.8361,16.33716,47.78476
12023,-0.8973107,-0.0482879,-0.1339351,-0.4178078,358.5526,16.30811,49.72806
12024,-0.8922443,-0.05226626,-0.1348744,-0.4277585,358.7326,16.58673,51.04309
12025,-0.8853035,-0.05353817,-0.1361865,-0.4413894,358.543,16.76748,52.78457
12026,-0.8821667,-0.05226374,-0.1344643,-0.4482966,358.3755,16.51183,53.64151
12027,-0.877725,-0.05361725,-0.1335245,-0.4570508,358.3994,16.47027,54.7823
12028,-0.8748385,-0.05392577,-0.1334803,-0.4625289,358.3311,16.47232,55.48942
12029,-0.8710808,-0.05615017,-0.1333656,-0.4693392,358.4319,16.5683,56.40334
12030,-0.863091,-0.05781864,-0.1303441,-0.4845015,358.4816,16.32722,58.39806
12031,-0.8606402,-0.05405012,-0.1289484,-0.4896424,358.095,15.96432,59.00638
12032,-0.8502218,-0.05807513,-0.1278197,-0.5073583,358.2266,16.0462,61.40214
12033,-0.8477149,-0.05928595,-0.1271122,-0.5115733,358.3073,16.03881,61.98122
12034,-0.844679,-0.05650371,-0.127155,-0.5168718,357.9374,15.86656,62.63873
12035,-0.8442627,-0.05261528,-0.1257551,-0.5183029,357.6206,15.49251,62.7688
12036,-0.8477345,-0.04978256,-0.1257468,-0.5128896,357.4447,15.33896,62.00473
12037,-0.8423419,-0.04839933,-0.1225177,-0.5225967,357.3338,14.90806,63.28279
12038,-0.8401816,-0.04933463,-0.1234601,-0.5257552,357.3107,15.04749,63.71843
12039,-0.8435243,-0.04788262,-0.1231585,-0.5205824,357.2804,14.94659,63.00494
12040,-0.8438429,-0.04219787,-0.1199145,-0.5213149,356.9154,14.28422,63.02785
12041,-0.8456349,-0.03744484,-0.1177349,-0.5192669,356.6209,13.79353,62.69564
12042,-0.8445963,-0.03326231,-0.1169736,-0.5214096,356.2274,13.46091,62.93267
12043,-0.8437872,-0.03472325,-0.115262,-0.5230032,356.4473,13.37235,63.16701
12044,-0.8433746,-0.03205952,-0.1134905,-0.5242249,356.2782,13.03336,63.30324
12045,-0.8375851,-0.02961624,-0.1125849,-0.5337593,355.953,12.75398,64.56297
12046,-0.8392543,-0.02496979,-0.1097394,-0.5319644,355.7078,12.20191,64.27845
12047,-0.8382496,-0.02042837,-0.1088679,-0.533918,355.2962,11.83076,64.50208
12048,-0.8383088,-0.01724026,-0.1075549,-0.5342035,355.0661,11.50697,64.51637
12049,-0.8370098,-0.01596239,-0.1069674,-0.5363934,354.9496,11.35892,64.80456
12050,-0.8332317,-0.0150505,-0.1058073,-0.5424973,354.8525,11.15325,65.63146
12051,-0.823934,-0.0165914,-0.1062327,-0.5563922,354.7861,11.20524,67.54951
12052,-0.8207396,-0.01593697,-0.1060639,-0.5611444,354.671,11.11746,68.20227
12053,-0.8180264,-0.01754525,-0.1077996,-0.5647161,354.6611,11.36373,68.70615
12054,-0.8107497,-0.01742452,-0.1065747,-0.5753464,354.5843,11.17029,70.19266
12055,-0.8134313,-0.01858813,-0.1077746,-0.5712872,354.6695,11.38651,69.6303
12056,-0.8157963,-0.01381785,-0.1076175,-0.5680707,354.2768,11.08384,69.14622
12057,-0.8159612,-0.01676381,-0.1087317,-0.5675419,354.4875,11.38395,69.09124
12058,-0.812863,-0.01766759,-0.1099263,-0.5717149,354.4353,11.52839,69.67795
12059,-0.8109139,-0.02058873,-0.1116878,-0.574039,354.5582,11.87065,70.02253
12060,-0.8093956,-0.022035,-0.112699,-0.5759275,354.598,12.04878,70.29719
12061,-0.8079066,-0.0226534,-0.1141176,-0.5777121,354.5343,12.21196,70.54993
12062,-0.8045529,-0.02858958,-0.1148688,-0.5819644,354.969,12.64771,71.20146
12063,-0.803334,-0.0289779,-0.1147296,-0.583654,354.9879,12.65007,71.44389
12064,-0.8032776,-0.03188941,-0.118528,-0.5828202,355.013,13.20632,71.34808
12065,-0.8070031,-0.03151375,-0.1171935,-0.5779436,355.147,13.08457,70.66059
12066,-0.8092854,-0.03115168,-0.1160792,-0.5749892,355.2351,12.97242,70.2448
12067,-0.8133199,-0.03313965,-0.1151512,-0.5693442,355.5715,13.04517,69.47938
12068,-0.8137103,-0.03621718,-0.1190286,-0.5677994,355.6282,13.62245,69.29152
12069,-0.8130037,-0.03811941,-0.1204251,-0.5683924,355.7037,13.87589,69.39379
12070,-0.8115021,-0.0395737,-0.1222901,-0.5700382,355.6877,14.13964,69.63705
12071,-0.8118375,-0.04011077,-0.1213869,-0.569716,355.803,14.09021,69.60047
12072,-0.8122413,-0.04084072,-0.1240356,-0.5685169,355.7167,14.39618,69.43791
12073,-0.8121581,-0.04230654,-0.1237472,-0.5685915,355.8709,14.4635,69.46753
12074,-0.8122506,-0.04195273,-0.1231225,-0.568621,355.8787,14.38079,69.4682
12075,-0.8116321,-0.04390278,-0.1228488,-0.5694157,356.0642,14.47772,69.60449
12076,-0.8115954,-0.04307684,-0.1210634,-0.5699131,356.0969,14.25158,69.66595
12077,-0.8113802,-0.04219946,-0.1210586,-0.5702862,356.0092,14.19218,69.70665
12078,-0.8120443,-0.04269174,-0.1210574,-0.5693038,356.0721,14.22879,69.57622
12079,-0.8127131,-0.04255557,-0.120253,-0.5685296,356.1259,14.14691,69.46816
12080,-0.8134117,-0.04334652,-0.1203659,-0.5674458,356.2108,14.21401,69.32758
12081,-0.8131297,-0.04471397,-0.119663,-0.5678924,356.3768,14.23384,69.40862
12082,-0.8131006,-0.04546261,-0.1189697,-0.5680201,356.49,14.21592,69.43734
12083,-0.813802,-0.04138705,-0.1173608,-0.5676618,356.2226,13.79937,69.33759
12084,-0.8138807,-0.04234999,-0.1180968,-0.5673254,356.2695,13.93353,69.30178
12085,-0.8150868,-0.04241809,-0.1167211,-0.5658714,356.3909,13.8131,69.10307
12086,-0.8148924,-0.04285705,-0.1179726,-0.5658588,356.3499,13.96101,69.10492
12087,-0.8138724,-0.04437599,-0.1191615,-0.5669596,356.3945,14.16811,69.27544
12088,-0.8142596,-0.04552674,-0.1193267,-0.5662773,356.5026,14.26139,69.19576
12089,-0.8144735,-0.04531914,-0.1186337,-0.5661318,356.5314,14.18243,69.17387
12090,-0.8145553,-0.04307008,-0.1182272,-0.5662746,356.3459,13.99728,69.16492
12091,-0.8144738,-0.04253712,-0.1179507,-0.5664897,356.3108,13.93543,69.18839
12092,-0.8159881,-0.04188597,-0.1152776,-0.5649073,356.452,13.64503,68.96496
12093,-0.816669,-0.03706932,-0.1137066,-0.5645782,356.1097,13.18547,68.86383
12094,-0.8169549,-0.03654966,-0.1138815,-0.5641633,356.0563,13.17061,68.80003
12095,-0.817378,-0.03446069,-0.1123673,-0.5639851,355.9623,12.89221,68.75443
12096,-0.8186529,-0.03420195,-0.1112498,-0.5623712,356.0361,12.77643,68.53004
12097,-0.8126592,-0.03094658,-0.1101415,-0.5713985,355.666,12.41526,69.75215
12098,-0.8083235,-0.03455034,-0.1066836,-0.5779603,356.1318,12.2919,70.71368
12099,-0.8015892,-0.03260317,-0.1055541,-0.58758,355.8841,12.00943,72.05112
