frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
16001,-0.9588088,-0.08640818,-0.1349428,-0.2345419,5.877295,17.51064,28.39724
16002,-0.9470537,-0.09218607,-0.1313041,-0.2781194,5.82981,17.55018,33.63232
16003,-0.9407262,-0.093731,-0.1319874,-0.2980408,5.605311,17.79792,36.03683
16004,-0.934302,-0.09230618,-0.126989,-0.3200517,5.232509,17.31458,38.61575
16005,-0.9289104,-0.09352538,-0.1291379,-0.3342187,5.015934,17.67357,40.3574
16006,-0.9183246,-0.09471989,-0.1266913,-0.3628465,4.705157,17.60446,43.84872
16007,-0.9082293,-0.09909634,-0.1292033,-0.3854948,4.610982,18.18612,46.73563
16008,-0.9020535,-0.09857579,-0.126851,-0.4006134,4.370452,17.98284,48.5851
16009,-0.890229,-0.09860627,-0.1248331,-0.4268325,3.956476,17.8887,51.855
16010,-0.8794395,-0.09710133,-0.1262068,-0.4485864,3.299777,18.03587,54.57447
16011,-0.8765572,-0.100788,-0.1234105,-0.4541577,3.703729,17.97153,55.3646
16012,-0.8724619,-0.09478207,-0.1216231,-0.4637181,3.014567,17.49023,56.44558
16013,-0.8682611,-0.09205449,-0.1193341,-0.4726608,2.696507,17.13197,57.53189
16014,-0.8498797,-0.09350982,-0.1187094,-0.5048451,2.239949,17.24269,61.76194
16015,-0.8462554,-0.09274893,-0.1143687,-0.5120246,2.284379,16.78488,62.68892
16016,-0.8437813,-0.09387958,-0.1148822,-0.5157733,2.287932,16.91447,63.21214
16017,-0.8384705,-0.09129208,-0.1149151,-0.5248122,1.860937,16.77897,64.36071
16018,-0.8349103,-0.08856122,-0.1116888,-0.5316082,1.669376,16.30671,65.21104
16019,-0.8334254,-0.08898117,-0.1107852,-0.5340516,1.71846,16.25002,65.54813
16020,-0.8268037,-0.08919775,-0.1126924,-0.5438199,1.428492,16.46634,66.87556
16021,-0.8234662,-0.08655682,-0.1128666,-0.5492473,1.06404,16.32075,67.55872
16022,-0.8279492,-0.08625764,-0.1108088,-0.5429378,1.289794,16.09456,66.69306
16023,-0.8264416,-0.08467372,-0.1086287,-0.5459163,1.223441,15.78701,67.06414
16024,-0.8200058,-0.08448352,-0.1066886,-0.5559413,1.141907,15.60237,68.42883
16025,-0.8207515,-0.08469661,-0.1059506,-0.5549486,1.228254,15.54436,68.29659
16026,-0.8211582,-0.0830263,-0.1059154,-0.554606,1.081399,15.43159,68.21629
16027,-0.8186945,-0.08394367,-0.1062225,-0.5580409,1.082694,15.52527,68.70608
16028,-0.8191704,-0.08389908,-0.1052563,-0.5575323,1.151017,15.42948,68.63482
16029,-0.818992,-0.08228594,-0.1041195,-0.5582476,1.06199,15.21625,68.70071
16030,-0.815969,-0.08174595,-0.098097,-0.5638168,1.305703,14.61562,69.45471
16031,-0.8162987,-0.0828349,-0.1015545,-0.5625669,1.201792,15.01399,69.30511
16032,-0.8168808,-0.08144076,-0.1033623,-0.5615956,0.9717384,15.09262,69.14484
16033,-0.817245,-0.08257687,-0.102161,-0.5611194,1.164447,15.0526,69.10075
16034,-0.8169075,-0.08256903,-0.102672,-0.5615184,1.122962,15.10122,69.15585
16035,-0.8167951,-0.08295952,-0.1025442,-0.561648,1.165153,15.11499,69.18129
16036,-0.8170236,-0.08220889,-0.1025797,-0.5614194,1.097439,15.06858,69.13512
16037,-0.816879,-0.08155479,-0.1028725,-0.5616716,1.013023,15.05365,69.1573
16038,-0.8163965,-0.08247538,-0.1023943,-0.5623258,1.117757,15.06972,69.26522
16039,-0.8162844,-0.08272201,-0.1022374,-0.5624807,1.148069,15.0713,69.29134
16040,-0.8158576,-0.08284312,-0.1023684,-0.5630579,1.140133,15.09252,69.37344
16041,-0.8161228,-0.08152285,-0.1025894,-0.562826,1.007619,15.02601,69.31583
16042,-0.8163956,-0.08082055,-0.1025052,-0.562547,0.9531653,14.97135,69.26373
16043,-0.8160633,-0.0807822,-0.1026961,-0.5629997,0.9288648,14.98746,69.32555
16044,-0.816406,-0.07945605,-0.1024384,-0.5627383,0.8276531,14.87525,69.26405
16045,-0.8167163,-0.0791215,-0.1020934,-0.5623978,0.8254001,14.82009,69.21062
16046,-0.8168032,-0.07941851,-0.1031574,-0.5620357,0.7896926,14.94046,69.16665
16047,-0.8168826,-0.07857005,-0.1037513,-0.5619301,0.6739922,14.94103,69.13622
16048,-0.8167647,-0.07814778,-0.1039429,-0.5621249,0.618746,14.93164,69.1552
16049,-0.8167099,-0.07770264,-0.1044166,-0.5621784,0.5454373,14.94746,69.15436
16050,-0.816648,-0.07766022,-0.1043198,-0.562292,0.5457968,14.93554,69.1692
16051,-0.8169253,-0.07693452,-0.1047984,-0.5619,0.4541931,14.93315,69.10171
16052,-0.8170031,-0.07666075,-0.1055099,-0.5616912,0.3859598,14.98279,69.06795
16053,-0.8173195,-0.07539076,-0.1064878,-0.561218,0.2126183,14.99248,68.97939
16054,-0.8172628,-0.07511686,-0.106297,-0.5613735,0.1968563,14.9564,68.99577
16055,-0.8179114,-0.07505172,-0.1057653,-0.5605372,0.240674,14.90127,68.8793
16056,-0.8179343,-0.07433248,-0.1057389,-0.5606047,0.1743344,14.85172,68.87549
16057,-0.8178769,-0.07297571,-0.1062753,-0.5607653,0.01026962,14.81417,68.87316
16058,-0.8177563,-0.07245944,-0.1061226,-0.5610368,359.9674,14.76586,68.90136
16059,-0.8183494,-0.06991553,-0.1054648,-0.5606188,359.7811,14.53716,68.79908
