frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
6289,-0.9881831,-0.05435783,-0.1362711,0.04437951,6.864763,15.45056,355.7895
6290,-0.9883621,-0.05616949,-0.1358349,0.03917244,6.988698,15.4314,356.4087
6292,-0.988039,-0.05703047,-0.1393782,0.0331677,7.004216,15.88345,357.133
6293,-0.9889442,-0.05863565,-0.1340185,0.02429656,7.035665,15.32025,358.1327
6295,-0.9890895,-0.06159716,-0.1328524,0.0160661,7.245384,15.24375,359.1096
6297,-0.9881784,-0.06841511,-0.1354985,-0.02152328,7.433759,15.84484,3.531407
6299,-0.987023,-0.07217656,-0.1348636,-0.04886921,7.429055,15.99746,6.71435
6301,-0.985944,-0.07506192,-0.1320876,-0.06952079,7.449252,15.85504,9.10547
6303,-0.9827624,-0.07902058,-0.1362464,-0.09680358,7.408261,16.5874,12.33254
6305,-0.9778016,-0.08124471,-0.1318195,-0.1411633,6.988277,16.4289,17.43989
6307,-0.9707769,-0.08874756,-0.1254136,-0.1843573,7.242337,16.16719,22.53562
6309,-0.9623353,-0.09173714,-0.1243722,-0.2236667,6.945659,16.40861,27.17146
6311,-0.9544494,-0.09016639,-0.1216035,-0.2571169,6.291442,16.27112,31.05402
6313,-0.9376612,-0.09564652,-0.1171911,-0.3129051,6.086435,16.33261,37.78276
6314,-0.934719,-0.09711292,-0.1170833,-0.3211873,6.104097,16.43137,38.80954
6316,-0.9239475,-0.09757358,-0.1090451,-0.3534259,5.925025,15.77894,42.68721
6317,-0.9134752,-0.09152088,-0.1028774,-0.3828881,5.07289,15.01377,46.15142
6318,-0.9073941,-0.09283455,-0.1014726,-0.3971415,5.04149,15.00418,47.93969
6320,-0.8874102,-0.089494,-0.09567124,-0.4419742,4.259128,14.45364,53.49147
6322,-0.8713783,-0.0869886,-0.08568114,-0.4751754,4.023914,13.44809,57.68317
6322,-0.8716526,-0.08291924,-0.08391336,-0.4757152,3.710536,13.04119,57.67236
6324,-0.8545133,-0.07418574,-0.07976219,-0.5078795,2.623129,12.23328,61.73137
6326,-0.8345502,-0.07277653,-0.0701555,-0.5415791,2.606815,11.31063,66.22108
6328,-0.8063288,-0.07429764,-0.07058069,-0.5825223,2.154083,11.56762,71.90975
6330,-0.7962384,-0.07384107,-0.06913459,-0.5964666,2.012483,11.43786,73.87573
6332,-0.7803935,-0.07099548,-0.06672728,-0.6176514,1.626297,11.06516,76.87806
6334,-0.7836224,-0.06741419,-0.06806263,-0.6138068,1.266336,10.92219,76.26385
6336,-0.7809306,-0.06622475,-0.06460324,-0.6177284,1.353416,10.53115,76.81384
6338,-0.7860042,-0.06282195,-0.06402835,-0.6116791,1.170463,10.22673,75.88582
6340,-0.7944831,-0.05988228,-0.06101555,-0.6012387,1.248064,9.729612,74.34071
6342,-0.8041499,-0.05640718,-0.06062999,-0.5886301,1.108306,9.436114,72.49902
6344,-0.8141775,-0.05528975,-0.05904481,-0.5749539,1.26836,9.193147,70.55974
6346,-0.8364275,-0.04971623,-0.05642185,-0.5428942,1.255213,8.534359,66.0659
6348,-0.8465107,-0.0483952,-0.05619183,-0.5271813,1.300012,8.40664,63.92235
6350,-0.8606316,-0.04467979,-0.05975652,-0.5037324,0.9570609,8.504704,60.75251
6352,-0.8666979,-0.04897164,-0.06441355,-0.492227,1.230525,9.201172,59.28644
6354,-0.8922669,-0.04150851,-0.06555784,-0.4447911,0.9026893,8.855005,53.062
6356,-0.9101075,-0.03918819,-0.07012376,-0.4065113,0.8204309,9.178893,48.20295
6358,-0.9312417,-0.03216904,-0.07287654,-0.3555886,0.4633085,9.126481,41.83504
6360,-0.946297,-0.03146999,-0.08506301,-0.3103161,0.3877268,10.40035,36.34669
6362,-0.953231,-0.02922587,-0.08844769,-0.2875301,0.2781872,10.68626,33.59657
6364,-0.9621009,-0.02400083,-0.0985806,-0.2531162,359.7867,11.6446,29.45778
6366,-0.9730909,-0.01628505,-0.1041283,-0.2049058,359.3709,12.08362,23.71575
6368,-0.9789521,-0.01328596,-0.1127501,-0.1695993,359.2991,13.01918,19.57741
6370,-0.9840534,-0.005828835,-0.1183158,-0.132689,358.8582,13.55929,15.22306
6372,-0.9879161,-0.001874879,-0.1225472,-0.09487098,358.8799,14.03619,10.83286
6374,-0.9883552,-0.001259435,-0.1260503,-0.08522838,358.9115,14.44347,9.719207
6376,-0.9899862,0.007524208,-0.1351795,-0.03996778,358.5271,15.49406,4.423407
6378,-0.9903141,0.01264158,-0.1382604,0.001526796,358.5894,15.90029,359.6263
6380,-0.9878852,0.0176315,-0.1427718,0.05820887,358.9563,16.51008,353.1043
6381,-0.9857645,0.02045607,-0.1436222,0.08498663,359.088,16.65861,350.0114
6382,-0.9793878,0.02477928,-0.1531165,0.1293867,359.4892,17.83911,344.8683
