frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
14001,-0.9754648,-0.1666385,-0.1325693,0.05590707,19.87219,14.78526,356.0436
14002,-0.9752815,-0.1666953,-0.1339535,0.05563455,19.8802,14.95849,356.1062
14003,-0.9755155,-0.1657195,-0.1335668,0.05538001,19.76223,14.91569,356.1141
14004,-0.9761425,-0.1638132,-0.1316244,0.05464537,19.52362,14.69354,356.1332
14005,-0.9754899,-0.1629829,-0.1363725,0.05708616,19.48415,15.21746,355.9294
14006,-0.9761289,-0.160952,-0.1345854,0.05615691,19.22845,15.01809,355.973
14007,-0.976263,-0.1574591,-0.1360632,0.06003384,18.89167,15.11816,355.4917
14008,-0.9761151,-0.1563431,-0.1373521,0.06237526,18.80525,15.22795,355.2236
14009,-0.9759367,-0.1551797,-0.1358385,0.07081599,18.7918,14.88339,354.1759
14010,-0.9726695,-0.1458881,-0.142163,0.1114469,18.39034,14.9023,349.353
14011,-0.9723345,-0.1449629,-0.1420484,0.1156455,18.34628,14.8154,348.8402
14012,-0.9725693,-0.1425795,-0.1415623,0.1172188,18.09084,14.74479,348.6152
14013,-0.9719278,-0.1398467,-0.1427908,0.124138,17.89618,14.78494,347.7834
14014,-0.9709428,-0.1381131,-0.143975,0.1321596,17.8337,14.79412,346.8315
14015,-0.9670106,-0.129907,-0.143865,0.165281,17.38549,14.27401,342.795
14016,-0.9631864,-0.1228945,-0.1505096,0.1857849,17.01759,14.80078,340.3915
14017,-0.9597692,-0.1190735,-0.1502731,0.2051403,16.87115,14.49987,338.032
14018,-0.9581085,-0.1131206,-0.1504779,0.2158435,16.36306,14.45541,336.6978
14019,-0.9565357,-0.1135219,-0.1509607,0.2221784,16.51438,14.39526,335.947
14020,-0.9531892,-0.1068206,-0.1529751,0.2379465,16.04786,14.51048,334.0235
14021,-0.9519938,-0.1003674,-0.1554286,0.2438776,15.48044,14.84925,333.2919
14022,-0.9500136,-0.09832174,-0.1575482,0.2509695,15.42005,15.03029,332.4503
14023,-0.9444088,-0.09006936,-0.1557119,0.2751972,14.82263,14.65246,329.4244
14024,-0.9431177,-0.09010579,-0.1542149,0.2804065,14.85931,14.39876,328.771
14025,-0.9424367,-0.08811811,-0.1568006,0.2818903,14.74352,14.72861,328.6112
14026,-0.9396158,-0.08166724,-0.1557655,0.2935811,14.17777,14.62297,327.1257
14027,-0.9372828,-0.07558246,-0.153523,0.3036761,13.5873,14.40936,325.8213
14028,-0.9325379,-0.07503249,-0.1558204,0.3169593,13.81093,14.49459,324.2201
14029,-0.9319543,-0.07155725,-0.1579174,0.3184382,13.52974,14.82522,324.0389
14030,-0.9293678,-0.06742544,-0.1579952,0.3267521,13.21328,14.85634,322.9884
14031,-0.9277422,-0.0655459,-0.1589761,0.3312473,13.117,14.96881,322.4328
14032,-0.9267952,-0.06144513,-0.1585745,0.3348573,12.71454,15.01879,321.9525
14033,-0.9260257,-0.05877142,-0.1610198,0.3362962,12.5416,15.36762,321.7807
14034,-0.9265742,-0.05864381,-0.159702,0.3354349,12.46334,15.2364,321.8713
14035,-0.9262495,-0.05509377,-0.1622497,0.3357107,12.18091,15.64326,321.8343
14036,-0.9239014,-0.0525353,-0.1596269,0.3437521,11.936,15.34086,320.7962
14037,-0.9239389,-0.05304168,-0.1600369,0.343383,12.00063,15.37259,320.8502
14038,-0.9273148,-0.05231445,-0.1613035,0.3336641,11.80997,15.662,322.0507
14039,-0.9308758,-0.05319123,-0.1597016,0.3242474,11.68872,15.56885,323.1944
14040,-0.9317977,-0.05328738,-0.1597962,0.3215254,11.65763,15.60949,323.5284
14041,-0.9333795,-0.05264993,-0.160693,0.3165572,11.53823,15.79172,324.1366
14042,-0.9334958,-0.05342057,-0.1607714,0.3160449,11.61637,15.78109,324.2072
14043,-0.9354842,-0.0519333,-0.1608133,0.3103414,11.36039,15.90308,324.886
14044,-0.9362408,-0.05169149,-0.1596971,0.3086715,11.26688,15.8052,325.0749
14045,-0.9363915,-0.05100721,-0.1594326,0.3084651,11.17955,15.80007,325.0904
14046,-0.936486,-0.05100183,-0.1595309,0.3081278,11.17678,15.81521,325.1322
14047,-0.9364522,-0.05100446,-0.1588164,0.3085988,11.15989,15.72939,325.0681
14048,-0.9361056,-0.05070378,-0.1585986,0.3098096,11.13953,15.70065,324.9161
14049,-0.935986,-0.05162217,-0.1582375,0.3102037,11.23345,15.62558,324.8738
14050,-0.9359443,-0.05255052,-0.1585513,0.3100131,11.34257,15.63278,324.9092
14051,-0.9361305,-0.05118167,-0.1573288,0.3103027,11.15504,15.53682,324.8485
14052,-0.9358861,-0.04977098,-0.1563541,0.3117585,10.99069,15.45697,324.6486
14053,-0.9351718,-0.04939631,-0.157169,0.3135467,11.0081,15.54015,324.4358
14054,-0.935443,-0.04909562,-0.155418,0.3136579,10.91477,15.35272,324.4025
14055,-0.9353287,-0.04887901,-0.1552846,0.3140988,10.89357,15.33996,324.3456
14056,-0.9356091,-0.04868128,-0.1542332,0.3138122,10.82989,15.23209,324.3685
14057,-0.936017,-0.04853451,-0.1535381,0.3129579,10.77544,15.16881,324.4641
14058,-0.9359742,-0.04863558,-0.1525234,0.3135662,10.76001,15.04507,324.3817
14059,-0.9360428,-0.04786742,-0.1522753,0.3136001,10.66807,15.04251,324.368
14060,-0.9360999,-0.04774958,-0.151244,0.3139462,10.62392,14.92728,324.3152
14061,-0.9360833,-0.04754659,-0.1513,0.3139997,10.60467,14.93972,324.3073
14062,-0.9361359,-0.04897615,-0.1516452,0.3134561,10.76404,14.93674,324.3899
14063,-0.9364102,-0.04912989,-0.1500455,0.3133826,10.72263,14.75356,324.3852
14064,-0.9366224,-0.04904302,-0.1509627,0.3123201,10.72917,14.87092,324.522
14065,-0.9366249,-0.04895422,-0.1501198,0.3127325,10.69601,14.77497,324.4631
14066,-0.9366342,-0.04891178,-0.1487014,0.313388,10.65107,14.61051,324.3699
14067,-0.936837,-0.04818375,-0.1471176,0.3136424,10.51921,14.45507,324.3178
14068,-0.9367906,-0.04848149,-0.1477944,0.3134165,10.57232,14.5232,324.3541
14069,-0.9370417,-0.0493442,-0.1490855,0.3119158,10.68908,14.65548,324.5561
14070,-0.9377731,-0.04969458,-0.1479675,0.3101903,10.66117,14.53808,324.7581
14071,-0.9385705,-0.05056057,-0.1480545,0.3075861,10.71876,14.54845,325.0824
14072,-0.9385061,-0.04785145,-0.1468935,0.3087702,10.40066,14.49426,324.9036
14073,-0.9380828,-0.04774834,-0.1465028,0.3102543,10.3983,14.43787,324.7192
14074,-0.9382031,-0.04723983,-0.1458748,0.3102643,10.32087,14.38441,324.7077
14075,-0.9385375,-0.04576451,-0.1447114,0.310019,10.11532,14.30592,324.7137
14076,-0.9385023,-0.04580678,-0.1451483,0.3099149,10.13376,14.35442,324.7306
14077,-0.9388676,-0.04344302,-0.1447797,0.3093207,9.854176,14.39768,324.7776
14078,-0.9389554,-0.04425195,-0.1454124,0.308642,9.954261,14.44861,324.8727
14079,-0.9389377,-0.04304601,-0.1456593,0.3087499,9.833151,14.51485,324.8505
14080,-0.9390402,-0.04074937,-0.1453623,0.30889,9.57465,14.55617,324.8092
14081,-0.9392753,-0.03782325,-0.1442,0.3090919,9.218213,14.52151,324.7468
14082,-0.9393718,-0.03645754,-0.1440582,0.309029,9.063596,14.55164,324.7398
14083,-0.9392056,-0.03608122,-0.1444226,0.309408,9.041298,14.60119,324.6932
14084,-0.939096,-0.03522825,-0.1435946,0.310223,8.931767,14.52979,324.5798
14085,-0.9398221,-0.03352329,-0.1447436,0.307669,8.747373,14.73788,324.8797
14086,-0.9398111,-0.03296596,-0.1449791,0.3076518,8.694715,14.78271,324.8778
14087,-0.9411975,-0.02948864,-0.1460136,0.3032457,8.283153,15.05105,325.3792
14088,-0.9421797,-0.02742648,-0.1482595,0.2992733,8.072241,15.40199,325.8495
14089,-0.9421562,-0.02579543,-0.1480552,0.2995933,7.892756,15.42913,325.7909
14090,-0.942508,-0.02468932,-0.1474954,0.2988548,7.741225,15.40829,325.8627
14091,-0.9491944,-0.02280971,-0.1461155,0.2777771,7.150543,15.47316,328.349
14092,-0.9481474,-0.02283973,-0.1466841,0.2810316,7.22445,15.51211,327.9655
14093,-0.9481513,-0.02185229,-0.1462463,0.2813249,7.107075,15.49083,327.9157
14094,-0.9521729,-0.02058651,-0.1481922,0.2664248,6.786382,15.852,329.6819
14095,-0.9531249,-0.02140818,-0.1492968,0.2623073,6.842047,15.98149,330.187
14096,-0.953901,-0.01845966,-0.1475099,0.2607164,6.438338,15.87379,330.3255
14097,-0.9542112,-0.01803938,-0.1465668,0.2601416,6.35469,15.78314,330.3824
14098,-0.9544136,-0.01727964,-0.1464471,0.259518,6.257391,15.79492,330.4454
14099,-0.9544672,-0.01664621,-0.1458643,0.2596904,6.173276,15.746,330.4134
14100,-0.9549147,-0.01496366,-0.1454284,0.2583888,5.954127,15.75207,330.5424
14101,-0.9551224,-0.01518687,-0.1461069,0.2572229,5.97962,15.82924,330.6867
14102,-0.9554248,-0.01392284,-0.1462945,0.2560619,5.827013,15.89239,330.8077
14103,-0.9547756,-0.01488345,-0.1447513,0.2592858,5.939866,15.67273,330.4317
14105,-0.953477,-0.01217881,-0.1442582,0.2644295,5.711339,15.66386,329.7855
14106,-0.9532529,-0.01096924,-0.1447023,0.265047,5.602062,15.74503,329.6986
14107,-0.9532424,-0.01020286,-0.1440708,0.2654592,5.505508,15.69401,329.6364
14108,-0.9530768,-0.008153886,-0.1445645,0.2658558,5.30222,15.80666,329.5642
14109,-0.947018,-0.003090322,-0.1455585,0.286287,5.117367,15.96319,327.0775
14110,-0.9459552,-0.001922727,-0.1462955,0.2894178,5.06689,16.06612,326.6923
14111,-0.9451023,-0.0002950132,-0.1446059,0.2930371,4.893704,15.91203,326.2313
14112,-0.945121,0.0007259846,-0.1415971,0.2944418,4.704222,15.60396,326.0372
14113,-0.9452746,0.001471117,-0.1420668,0.2937193,4.627325,15.68388,326.1151
14114,-0.9446748,0.001559719,-0.1422016,0.2955774,4.652733,15.69295,325.893
14115,-0.9411625,0.001722455,-0.1392673,0.3079207,4.733678,15.31394,324.4036
14116,-0.9390165,0.005414605,-0.1413665,0.3134237,4.49927,15.64738,323.7027
14117,-0.9370013,0.007430688,-0.1402899,0.3198317,4.347946,15.57082,322.9016
14118,-0.9336698,0.009848997,-0.1374251,0.3305722,4.155661,15.29712,321.5646
14119,-0.9318038,0.01149416,-0.1376008,0.335672,4.06895,15.35614,320.9268
14120,-0.9301829,0.01336838,-0.1391134,0.3394535,3.989576,15.57672,320.4486
14121,-0.9222223,0.01513429,-0.1384956,0.3606885,4.128476,15.48927,317.84
14122,-0.9199657,0.02203998,-0.1378789,0.3662881,3.465914,15.68379,317.0571
14123,-0.916603,0.02226508,-0.1383814,0.3744249,3.601141,15.71721,316.058
14124,-0.912463,0.02781413,-0.1386767,0.3839356,3.194581,15.95364,314.8081
14125,-0.9100299,0.02848445,-0.1370854,0.390182,3.160497,15.79199,314.0233
14126,-0.9054003,0.0322133,-0.1362891,0.4007967,2.918568,15.84098,312.6507
14127,-0.9036039,0.03433079,-0.1345539,0.4052367,2.694438,15.7411,312.0632
14128,-0.8999269,0.03795123,-0.1378784,0.4119236,2.59547,16.24312,311.1805
14129,-0.8981069,0.03944422,-0.1368513,0.4160769,2.46626,16.19434,310.636
14130,-0.8973061,0.04275747,-0.134707,0.4181721,2.058986,16.12214,310.3177
14131,-0.8958192,0.04412168,-0.1352175,0.4210435,1.995146,16.23542,309.9367
14132,-0.8952059,0.04519986,-0.1359782,0.4219877,1.939024,16.36563,309.8018
14133,-0.8949655,0.04518434,-0.1368207,0.4222267,1.986376,16.45283,309.7732
14134,-0.8947023,0.04774478,-0.1363145,0.4226659,1.707453,16.52349,309.675
14135,-0.8933583,0.04770052,-0.1354804,0.4257708,1.727147,16.42813,309.2848
14136,-0.8930183,0.04942054,-0.1349121,0.4264677,1.535964,16.45201,309.1677
14137,-0.8918593,0.04947716,-0.1350527,0.4288356,1.580272,16.46556,308.8691
14138,-0.8908073,0.04926695,-0.1349303,0.4310789,1.636387,16.43844,308.5899
14139,-0.8910916,0.04602732,-0.1304556,0.4322254,1.761739,15.80789,308.493
14142,-0.8976669,0.04277587,-0.1281861,0.4194435,1.761362,15.4351,310.1491
14143,-0.8980929,0.04227704,-0.1281276,0.4185992,1.795417,15.40651,310.2626
14144,-0.9072578,0.03536975,-0.1284949,0.3989003,2.196935,15.16302,312.8245
14145,-0.9108816,0.03536351,-0.1287881,0.3904584,2.071627,15.21304,313.8709
14146,-0.9141219,0.03219587,-0.1284014,0.3832207,2.266655,15.04801,314.8103
14147,-0.9173459,0.02877158,-0.1269693,0.3762016,2.449862,14.76353,315.7206
14148,-0.9202324,0.02728282,-0.1261215,0.3694882,2.463773,14.6265,316.5637
14149,-0.925373,0.02479164,-0.1269235,0.3563157,2.554324,14.64454,318.2098
14150,-0.9262836,0.02468376,-0.127395,0.3537798,2.545412,14.69795,318.5211
14151,-0.938917,0.01851034,-0.1276671,0.319051,2.676988,14.58546,322.8064
14152,-0.9396132,0.01786387,-0.1256777,0.3178258,2.654717,14.34724,322.9578
14153,-0.9405571,0.01785395,-0.1276419,0.3142315,2.672839,14.5724,323.3938
14154,-0.9500988,0.01212491,-0.1252566,0.2854402,2.778033,14.19497,326.902
14155,-0.9590019,0.006664127,-0.1307239,0.251361,3.034425,14.74016,331.0181
14156,-0.9638932,0.005314872,-0.1297436,0.2324833,2.870603,14.64957,333.2485
14157,-0.9660698,0.0009200126,-0.130527,0.2228702,3.233402,14.65565,334.4344
14158,-0.971682,-0.001492038,-0.1292372,0.1978125,3.097142,14.53261,337.3812
14159,-0.978035,-0.005318396,-0.1352745,0.1584938,3.054365,15.26564,341.9995
14160,-0.9816464,-0.009629931,-0.1353264,0.1340313,3.163321,15.27817,344.8745
14161,-0.9830304,-0.009266894,-0.1358801,0.1228894,2.958679,15.3803,346.1483
14162,-0.9869663,-0.01447653,-0.1381756,0.08121271,2.924439,15.70894,350.9955
14163,-0.9875844,-0.01739039,-0.1427661,0.06318676,3.003147,16.27061,353.1077
14164,-0.9888136,-0.01813828,-0.1409274,0.04536951,2.78902,16.10417,355.1405
14165,-0.9894398,-0.02556094,-0.1400034,0.0274694,3.340727,16.02846,357.2899
14166,-0.9896637,-0.02411645,-0.1409106,0.01133961,2.919342,16.184,359.1022
14167,-0.9898171,-0.03006476,-0.1381296,-0.01668746,3.147532,15.95392,2.372907
14168,-0.9894293,-0.03306635,-0.1388223,-0.02578631,3.340757,16.07441,3.457643
14169,-0.9892479,-0.03358538,-0.1380823,-0.03455318,3.262246,16.01943,4.460075
14170,-0.9869391,-0.03913509,-0.1393434,-0.07073466,3.298338,16.32281,8.672001
14171,-0.9861302,-0.0405019,-0.1377863,-0.08319775,3.264949,16.1971,10.10972
14172,-0.9843671,-0.04189003,-0.1406014,-0.09745742,3.15659,16.58305,11.76844
14173,-0.9840114,-0.04363616,-0.1387962,-0.1027293,3.288295,16.41452,12.39441
14174,-0.9812522,-0.04469921,-0.1407205,-0.1238705,3.030076,16.71676,14.8349
14175,-0.9792668,-0.04800742,-0.14147,-0.1368149,3.17086,16.89718,16.3779
14176,-0.9772053,-0.05057003,-0.1413706,-0.1500905,3.233072,16.9742,17.9464
14177,-0.9728692,-0.05166282,-0.1396306,-0.1770876,2.927291,16.87957,21.06719
14178,-0.9673208,-0.05511382,-0.1386299,-0.205024,2.853396,16.92738,24.35821
14179,-0.9660636,-0.05677041,-0.1384893,-0.2105211,2.945028,16.96977,25.02643
14180,-0.9630187,-0.05822632,-0.1384775,-0.2236714,2.877409,17.0454,26.58273
14181,-0.9564415,-0.06284295,-0.140825,-0.2478686,2.888875,17.51273,29.503
14182,-0.953728,-0.06237216,-0.1406686,-0.2583122,2.653703,17.50954,30.7181
14183,-0.943938,-0.06468104,-0.1410524,-0.2913789,2.287305,17.71155,34.6657
14184,-0.9370044,-0.07258596,-0.1424475,-0.3105847,2.725024,18.20328,37.1138
14185,-0.9275614,-0.07342224,-0.1469203,-0.3356391,2.153848,18.78812,40.1418
14186,-0.9230895,-0.07446413,-0.1442716,-0.3486354,2.113415,18.57161,41.72701
14187,-0.9173173,-0.07949698,-0.1415972,-0.3635375,2.458521,18.53428,43.63857
14188,-0.9146889,-0.08025892,-0.1418331,-0.3698463,2.402026,18.60933,44.42461
14189,-0.9060143,-0.08647284,-0.1439678,-0.3885021,2.569296,19.17131,46.85362
14190,-0.896517,-0.08466378,-0.1426371,-0.4107847,1.983907,18.99619,49.56652
14191,-0.8906926,-0.0872357,-0.1428358,-0.4226758,1.985918,19.17094,51.10852
14192,-0.8822354,-0.09208374,-0.1413561,-0.4395452,2.19005,19.30581,53.33913
14193,-0.8760071,-0.09098049,-0.1404031,-0.4523508,1.855346,19.17597,54.9351
14194,-0.8710772,-0.09340142,-0.1405769,-0.4612365,1.893471,19.34453,56.12531
14195,-0.86658,-0.09442835,-0.141471,-0.4691573,1.771589,19.509,57.16588
14196,-0.8667099,-0.09518595,-0.1412705,-0.4688245,1.864448,19.53053,57.14098
14197,-0.8677912,-0.0929749,-0.1412303,-0.4672775,1.683484,19.39934,56.88983
14198,-0.8657591,-0.09729443,-0.1404928,-0.4703796,2.080134,19.57358,57.39061
14199,-0.8643118,-0.09554921,-0.139592,-0.4736556,1.887181,19.39002,57.76923
14200,-0.8620355,-0.09741569,-0.1400013,-0.4772889,1.966169,19.54579,58.28324
14201,-0.8598257,-0.09957747,-0.1405522,-0.4806549,2.070222,19.73352,58.77174
14202,-0.857811,-0.101659,-0.1414753,-0.4835398,2.154284,19.95437,59.1981
14203,-0.855817,-0.1045582,-0.1405125,-0.486725,2.417656,20.03494,59.68312
14204,-0.8521935,-0.1063185,-0.1423091,-0.492149,2.357433,20.33406,60.43642
14205,-0.8483397,-0.1063783,-0.1393279,-0.4995909,2.365611,20.05844,61.40646
14206,-0.8399051,-0.109223,-0.139859,-0.5129029,2.292773,20.31958,63.23305
14207,-0.8341776,-0.1099057,-0.1405553,-0.521836,2.101401,20.45286,64.43683
14208,-0.8270061,-0.1137458,-0.1366303,-0.5333433,2.429794,20.34254,66.07262
14209,-0.8274762,-0.1131105,-0.1368065,-0.5327038,2.374896,20.31708,65.96999
14210,-0.821327,-0.1141171,-0.1378382,-0.5416642,2.18527,20.50576,67.20493
