frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
17587,0.8108476,-0.1097443,0.1832837,-0.5448759,1.246971,24.64047,292.4715
17588,0.8103318,-0.1094359,0.1835014,-0.5456312,1.311578,24.6407,292.3783
17589,0.8112448,-0.1099877,0.1826811,-0.5444376,1.172531,24.59795,292.5234
17590,0.8120617,-0.1086635,0.1819565,-0.5437279,1.225463,24.44259,292.6557
17591,0.8127494,-0.1081752,0.1814422,-0.542969,1.214544,24.36187,292.7712
17592,0.8132666,-0.1077879,0.1804963,-0.5425869,1.177474,24.24495,292.8329
17593,0.8108649,-0.1078142,0.1811879,-0.5459353,1.317248,24.30952,292.3809
17594,0.8091534,-0.1078195,0.1810245,-0.5485215,1.381338,24.29,292.0309
17595,0.8088458,-0.1079334,0.1793271,-0.5495098,1.288174,24.13074,291.8929
17596,0.810281,-0.1074589,0.1795745,-0.5474033,1.286708,24.12705,292.1913
17597,0.8129694,-0.1077717,0.1818828,-0.5425724,1.268576,24.37955,292.8361
17598,0.8142352,-0.1073697,0.1820107,-0.5407077,1.259514,24.3689,293.0982
17599,0.8153083,-0.107414,0.182605,-0.5388786,1.240713,24.43256,293.3431
17600,0.816821,-0.1072709,0.1829376,-0.5364982,1.206114,24.45935,293.6666
17601,0.8177108,-0.1069548,0.1822385,-0.535443,1.159778,24.37189,293.8163
17602,0.8182055,-0.106657,0.1825131,-0.5346525,1.181958,24.38104,293.9305
17603,0.8196229,-0.1052463,0.1824227,-0.5327885,1.25264,24.28539,294.2185
17604,0.8199753,-0.1055596,0.1820517,-0.532311,1.186324,24.26924,294.2735
17604,0.813283,-0.1061015,0.1813485,-0.5426104,1.387959,24.21987,292.8766
17605,0.8126069,-0.1063134,0.1814863,-0.5435351,1.404252,24.24552,292.7462
17606,0.8120786,-0.1063113,0.1817757,-0.544228,1.443356,24.27256,292.653
17607,0.8121522,-0.1060315,0.1821431,-0.5440498,1.487706,24.29076,292.685
17608,0.8123215,-0.1061995,0.1826695,-0.5435875,1.493143,24.35381,292.7431
17609,0.8124188,-0.1062189,0.1833483,-0.5432099,1.524518,24.4221,292.7939
17610,0.8129237,-0.1073396,0.182812,-0.5424142,1.363874,24.44293,292.8699
17612,0.8132386,-0.1073962,0.1830839,-0.5418391,1.359564,24.47406,292.946
17613,0.8133624,-0.1070462,0.1832845,-0.5416546,1.399246,24.47153,292.9806
17614,0.8134773,-0.1067474,0.183373,-0.5415109,1.428172,24.46126,293.0082
17615,0.8138222,-0.1066503,0.182931,-0.5411612,1.398247,24.41228,293.0576
17616,0.8140028,-0.1065835,0.1828503,-0.5409301,1.392419,24.40046,293.0905
17617,0.8144239,-0.1067631,0.1832233,-0.5401339,1.376917,24.44975,293.1929
17618,0.8148599,-0.1064497,0.1836736,-0.5393848,1.412964,24.47506,293.3025
