frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
13001,-0.6589391,0.2492962,-0.03901359,0.7086103,344.1422,24.881,262.32
13002,-0.6662172,0.2521214,-0.03564519,0.7009414,343.3835,24.73439,263.4222
13003,-0.6270903,0.2502072,-0.02525887,0.7372355,343.9449,24.6366,257.2408
13004,-0.6320847,0.25154,-0.02392375,0.7325463,343.5643,24.56731,257.977
13005,-0.6353219,0.2485869,-0.02413499,0.730745,343.7044,24.23397,258.4873
13006,-0.5920212,0.2482952,-0.01921332,0.7664798,344.6605,24.72585,251.9828
13007,-0.5918417,0.2469872,-0.01794779,0.7670716,344.6437,24.51765,251.9489
13008,-0.5909448,0.2466173,-0.01742941,0.7678936,344.6505,24.46413,251.8145
13009,-0.5856993,0.2454251,-0.01533499,0.7723262,344.7041,24.308,251.0373
13010,-0.5820785,0.2430682,-0.01546144,0.7757987,344.9905,24.14836,250.5332
13011,-0.5795642,0.2419091,-0.01602852,0.7780286,345.199,24.1144,250.1875
13012,-0.5719234,0.2405882,-0.01301369,0.7841247,345.239,23.92704,249.068
13013,-0.5398184,0.2389251,-0.009327054,0.8071084,345.9424,24.07702,244.5393
13014,-0.5262774,0.2327254,-0.00976041,0.8177873,346.7623,23.67722,242.739
13015,-0.5203096,0.2336291,-0.009684652,0.8213414,346.8671,23.85568,241.9217
13016,-0.5139581,0.2316776,-0.01061577,0.8258693,347.2551,23.79872,241.0937
13017,-0.5139914,0.2278969,-0.01132843,0.8268903,347.5528,23.44629,241.1371
13018,-0.510095,0.2290479,-0.0114879,0.8289803,347.6064,23.62899,240.6082
13019,-0.4946634,0.2216025,-0.009945869,0.8402985,348.3155,22.97648,238.5859
13020,-0.481588,0.2215719,-0.009094477,0.8478776,348.5805,23.09497,236.8519
13021,-0.4777984,0.2196254,-0.01203205,0.8504875,349.0818,23.08983,236.4173
13022,-0.4778051,0.2175542,-0.01531222,0.8509631,349.5233,23.04283,236.486
13023,-0.4772906,0.217075,-0.01555699,0.8513696,349.5879,23.0111,236.4263
13024,-0.451488,0.2142833,-0.0138077,0.8660548,350.2368,22.90895,233.0846
13025,-0.4461844,0.2100081,-0.01653534,0.8697947,350.872,22.64115,232.4825
13026,-0.443696,0.2093283,-0.01780903,0.8712051,351.0991,22.65478,232.1921
13027,-0.4418507,0.205925,-0.02669354,0.872726,352.2192,22.74189,232.138
13028,-0.4421466,0.206526,-0.02442521,0.8725005,351.9517,22.69259,232.1304
13029,-0.4241525,0.2055831,-0.02713166,0.8815295,352.729,22.86716,229.9171
13030,-0.4245893,0.2025699,-0.0328877,0.8818208,353.4531,22.81249,230.0986
13031,-0.412858,0.2011271,-0.04314896,0.8872623,354.8649,23.21082,228.8514
13032,-0.4118999,0.1995994,-0.04901461,0.8877479,355.5606,23.32548,228.8642
13033,-0.4113554,0.1975511,-0.05537055,0.8880848,356.3202,23.40682,228.944
13034,-0.408899,0.1977912,-0.0548362,0.8891982,356.3172,23.41678,228.6273
13035,-0.4065146,0.1943101,-0.05934611,0.8907681,357.0048,23.26349,228.4438
13036,-0.4069681,0.1932959,-0.06711076,0.8902303,357.8313,23.51976,228.6834
13037,-0.4021305,0.1917126,-0.07265942,0.8923329,358.5953,23.62197,228.2237
13038,-0.4070028,0.1862119,-0.0777249,0.8908607,359.2498,23.27097,228.9535
13039,-0.4059962,0.1860445,-0.07879101,0.8912612,359.3915,23.30518,228.8559
13040,-0.4178286,0.1819374,-0.08716783,0.8858442,0.1373347,23.27719,230.5322
13041,-0.416887,0.1787749,-0.09110948,0.8865349,0.7153912,23.13978,230.5163
13042,-0.4182071,0.1781889,-0.09814008,0.8852798,1.416675,23.43455,230.866
