frame,w,x,y,z,euler_x,euler_y,euler_z
2758,0.9875891,-0.0665674,0.01452582,0.00504964,352.2809,1.653331,0.4743658
2759,0.9875891,-0.0665674,0.01452582,0.00504964,352.2809,1.653331,0.4743658
2760,0.9875891,-0.0665674,0.01452582,0.00504964,352.2809,1.653331,0.4743658
2761,0.9875469,-0.06748728,0.01335862,0.004248428,352.1761,1.523407,0.3887885
2762,0.9876134,-0.06643931,0.01366678,0.004344142,352.2973,1.558771,0.3990996
2763,0.9875365,-0.06758522,0.01327659,0.005265954,352.1631,1.505704,0.507903
2764,0.9875219,-0.06764541,0.01228057,0.008587313,352.1521,1.363021,0.9029438
2765,0.987532,-0.06762511,0.01206311,0.007863102,352.1556,1.343472,0.8202859
2766,0.9880807,-0.05894773,0.01210859,0.008653986,353.1609,1.349056,0.9229965
2767,0.9879895,-0.06074507,0.012717,0.005022415,352.9572,1.444518,0.493621
2768,0.9878705,-0.0624727,0.01354846,0.00506297,352.7563,1.540502,0.4897772
2769,0.987882,-0.06234105,0.01337873,0.00487073,352.772,1.522188,0.4688397
2770,0.9879008,-0.06202533,0.01338511,0.005055564,352.8083,1.521669,0.4907854
2771,0.9880046,-0.06051688,0.01235793,0.005644009,352.9829,1.398354,0.5688608
2772,0.9882054,-0.05719025,0.01255286,0.004690549,353.3699,1.428831,0.4611422
2773,0.9883696,-0.05431497,0.01245681,0.004472211,353.7036,1.419943,0.4404014
2774,0.9885581,-0.05080188,0.0122265,0.004759934,354.1105,1.3925,0.4801227
2775,0.9887543,-0.04656772,0.01323662,0.004616031,354.6009,1.512102,0.4636698
2776,0.9889534,-0.04247792,0.01209177,0.004539427,355.0754,1.380958,0.4666007
2777,0.9891176,-0.03882063,0.01112304,0.00396736,355.5003,1.272483,0.4096307
2778,0.98927,-0.03530549,0.009469092,0.002962413,355.9093,1.085944,0.3043645
2779,0.9892161,-0.03681557,0.00955525,0.002162579,355.7352,1.099049,0.2095907
2780,0.9891332,-0.03874584,0.01048914,0.002052826,355.5116,1.207661,0.1904917
2781,0.9890846,-0.03992836,0.01074486,0.001363558,355.3754,1.240453,0.107886
2782,0.9890605,-0.04047449,0.01083874,0.001939818,355.3114,1.248607,0.1736268
2783,0.989052,-0.04071194,0.01063375,0.002396855,355.2834,1.222616,0.2273452
2784,0.9890965,-0.03981116,0.009909188,0.00226044,355.388,1.13929,0.2160031
2785,0.9892403,-0.03634692,0.008831603,0.002099055,355.7897,1.015442,0.2058231
2786,0.9892839,-0.03509599,0.008923811,0.002457395,355.9342,1.02483,0.2482686
2787,0.9893582,-0.03290853,0.00916034,0.001874021,356.1881,1.054903,0.1819514
2788,0.9894782,-0.02842511,0.01113393,0.0009878605,356.7081,1.287143,0.07741662
2789,0.9896123,-0.02300685,0.01169837,0.00115129,357.3352,1.352173,0.1018615
2790,0.989699,-0.02006469,0.009642285,0.000611642,357.6767,1.115412,0.04819989
2791,0.9897426,-0.01861564,0.007914191,0.0004979044,357.8446,0.9155185,0.04042441
2792,0.9897183,-0.01997515,0.007656801,0.0001494318,357.6876,0.8865138,-0.0005910159
2793,0.9896977,-0.02095872,0.007686591,0.0002298951,357.5736,0.889805,0.007774124
2794,0.9896349,-0.0236042,0.008088803,-7.374585E-05,357.2676,0.9373326,359.9691
2795,0.989616,-0.02424033,0.008513463,0.0003494322,357.1935,0.9853834,0.01632368
2796,0.9896305,-0.02380735,0.00802964,-0.0005132168,357.2445,0.9317181,359.9182
2797,0.9896299,-0.02381363,0.008076077,-0.0004545331,357.2437,0.9369355,359.9248
2798,0.989647,-0.02325721,0.007593089,0.0004150629,357.3073,0.8785448,0.027412
2799,0.9896557,-0.02289722,0.007522326,0.0008486509,357.3486,0.8691798,0.07814999
2800,0.9896932,-0.02119341,0.007102674,0.002785277,357.5443,0.8158313,0.3050062
2801,0.9897019,-0.02048874,0.006708723,0.005040627,357.6243,0.7649778,0.5677564
2802,0.9897168,-0.02002743,0.006744188,0.003734335,357.6787,0.7724019,0.4167183
2803,0.9897565,-0.01791559,0.006913126,0.003640187,357.9232,0.7929929,0.4070762
2804,0.9898218,-0.01365051,0.007702863,0.002700287,358.4174,0.8875935,0.3003522
2805,0.9898707,-0.009648606,0.007790774,0.0015394,358.8817,0.9002206,0.1694218
2806,0.9898926,-0.007590294,0.00713405,0.002050698,359.1197,0.8240598,0.231061
2807,0.9899084,-0.005606791,0.006694662,0.002264675,359.3492,0.7734969,0.257765
2808,0.9899243,-0.004539824,0.005027026,0.001974428,359.4733,0.5808748,0.2258856
2809,0.9899208,-0.004812777,0.005627173,0.001401317,359.442,0.6506105,0.1590457
2810,0.9899228,-0.004370719,0.005658257,0.001319957,359.4932,0.6543189,0.1499017
2811,0.9899186,-0.004678803,0.006121135,0.001220071,359.4576,0.7079121,0.1378824
2812,0.9899116,-0.00591279,0.006131107,0.001561597,359.3145,0.7086679,0.1765296
2813,0.9899061,-0.006198865,0.006844032,0.0007863998,359.2818,0.7917133,0.0860717
2814,0.9899054,-0.006599095,0.006578546,0.0005565256,359.2357,0.7611262,0.0593468
2815,0.9898968,-0.007788938,0.006560898,0.0008200288,359.0978,0.7587854,0.08895298
2816,0.989899,-0.007510039,0.006589812,0.0004409105,359.1303,0.7624876,0.04525333
2817,0.9898989,-0.007444617,0.006692868,0.0002138943,359.1381,0.7746181,0.01893405
2818,0.9898946,-0.008124747,0.006495976,0.0005637437,359.0591,0.7514871,0.05908913
2819,0.9899,-0.007711875,0.006177211,0.0007400453,359.1068,0.7144448,0.08009905
2820,0.9898945,-0.007637775,0.007096082,0.0005725264,359.1154,0.8209755,0.05993881
2821,0.9898864,-0.008335179,0.007425654,0.0006186723,359.0346,0.8590525,0.06438167
2822,0.9898818,-0.008541939,0.007792276,0.0006117672,359.0107,0.9014934,0.06303664
2823,0.9898829,-0.008633104,0.007511854,0.0007796198,359,0.8688546,0.08266842
2824,0.989896,-0.008164302,0.006257987,0.0002290815,359.0548,0.7242531,0.02054447
2825,0.9898981,-0.008002102,0.006140411,-0.0002276003,359.0739,0.7110702,359.9679
2826,0.9898967,-0.008038339,0.006323242,-0.0002013773,359.0697,0.7322133,359.9707
2827,0.9898968,-0.008029931,0.006264996,-0.0007771373,359.0711,0.7260103,359.9041
2828,0.9899027,-0.007337096,0.006202078,-0.0006825298,359.1512,0.7185705,359.9157
2829,0.9899129,-0.006562692,0.005318963,-0.001068532,359.241,0.6165595,359.8722
2830,0.9899203,-0.006108493,0.004289484,-0.001411539,359.2936,0.4975667,359.8335
2831,0.9899194,-0.006079683,0.004414403,-0.0017665,359.2971,0.5122746,359.7924
2832,0.9899201,-0.006568491,0.003825605,-0.0005890906,359.2399,0.4433154,359.9289
2833,0.9899169,-0.006144875,0.005129874,-0.0005631387,359.289,0.5942499,359.9311
2834,0.9899215,-0.005883834,0.004541701,-0.0006400138,359.3193,0.5261943,359.9228
2835,0.989913,-0.006652188,0.005229092,-0.0007692516,359.2304,0.6059353,359.9069
2836,0.9899136,-0.006467542,0.005363607,-0.0004427463,359.2516,0.6212418,359.9447
2837,0.9899058,-0.00653503,0.006565404,0.0007703364,359.243,0.7594444,0.0841568
2838,0.989911,-0.005909264,0.0063658,0.0008856594,359.3153,0.7363051,0.09812395
2839,0.9899124,-0.005890113,0.006078035,0.00134837,359.3172,0.702675,0.1518995
2840,0.9899181,-0.005414197,0.005716795,0.0004056543,359.373,0.6615238,0.0433384
2841,0.9899134,-0.005848974,0.006043947,0.0006920219,359.3225,0.6991844,0.07597381
2842,0.9899088,-0.005925682,0.00670284,0.0008291453,359.3134,0.7753599,0.09133598
2843,0.9898994,-0.006468606,0.007462036,0.001309651,359.2501,0.8628399,0.1459595
2844,0.9898983,-0.006555745,0.007547569,0.001169649,359.2401,0.8728373,0.1296115
2845,0.9899029,-0.006315252,0.007134885,0.001204154,359.268,0.825066,0.1341226
2846,0.9899111,-0.004809502,0.007170558,0.001148161,359.4423,0.8294181,0.1288739
2847,0.9899229,-0.002060857,0.006917798,0.0007739037,359.7608,0.8005944,0.08791456
2848,0.9899248,-0.001184106,0.006893265,9.583831E-05,359.8629,0.7979244,0.01013909
2849,0.9899256,-0.0003550231,0.006840151,-0.0005874216,359.9594,0.7918121,359.9317
2850,0.9899267,0.0004527807,0.006696415,-0.0004257023,0.05274374,0.7751268,359.9511
2851,0.9899202,0.002211311,0.007187373,-0.001225474,0.2569934,0.83167,359.86
2852,0.9899244,0.001816943,0.006698,-0.001279131,0.2113171,0.7750641,359.8534
2853,0.9899298,0.001066905,0.006037772,-0.001188862,0.1243365,0.6987587,359.8631
2854,0.9899352,8.37177E-05,0.005304819,-0.0004269332,0.009955423,0.6140578,359.9506
2855,0.989937,-9.556711E-05,0.004962272,0.0002433509,359.9888,0.5744072,0.02811326
2856,0.9899352,-0.0007276535,0.005255544,-0.0003257752,359.916,0.6083863,359.9619
2857,0.9899356,-0.0006082207,0.005198759,-0.0003875881,359.9298,0.6018127,359.9548
2858,0.9899333,-0.00103578,0.005496413,-0.001015002,359.8808,0.6363639,359.8818
2859,0.989931,-0.001910821,0.00557552,-0.00128009,359.7797,0.6456866,359.8506
2860,0.989933,-0.002060941,0.005249035,-0.0009857327,359.7621,0.6078458,359.8846
2861,0.9899392,-0.0008932322,0.004199988,-0.001304415,359.8972,0.4863074,359.8486
2862,0.9899384,0.001520187,0.004085457,-0.001688373,0.176774,0.4726142,359.8053
2863,0.9899378,0.002163371,0.004174077,-0.001051071,0.2509318,0.4829089,359.8794
2864,0.9899362,0.002994394,0.003977018,-0.001158655,0.3471523,0.4599611,359.8673
2865,0.9899316,0.00362694,0.004647762,-0.0007776171,0.420255,0.5376843,359.912
2866,0.9899319,0.003717917,0.004580128,-0.0002235532,0.4304834,0.5300884,359.9761
2867,0.9899293,0.004355094,0.004612338,-0.0002420157,0.5042503,0.5337951,359.9743
2868,0.9899333,0.003485456,0.004341763,-0.001187047,0.404058,0.5021074,359.8643
2869,0.9899336,0.003197399,0.004490799,-0.001058957,0.3706675,0.5194459,359.8791
2870,0.9899321,0.002555466,0.004989684,-0.001725882,0.2968109,0.5770723,359.8017
2871,0.9899319,0.002411687,0.005273652,-0.001080507,0.2798272,0.6101547,359.8764
2872,0.9899352,0.001919541,0.004779148,-0.001404008,0.2229782,0.5528995,359.8386
2873,0.9899414,0.0007987082,0.003702021,-0.001296967,0.09301515,0.4284072,359.8502
2874,0.989943,0.0005448222,0.003441167,-0.00077793,0.0633785,0.3982834,359.9102
2875,0.9899432,-1.38104E-05,0.003401446,-0.0008588314,-0.001257027,0.3937363,359.9006
2876,0.9899449,-0.001162723,0.002608621,-0.0009556919,359.8657,0.3020916,359.889
2877,0.9899464,-0.001798126,0.001350164,-0.001068804,359.792,0.1565137,359.876
2878,0.989945,-0.002194852,0.001598877,-0.001223618,359.7462,0.1853932,359.8579
2879,0.9899437,-0.002611166,0.002056247,-0.0007542312,359.6979,0.2382536,359.9121
2880,0.9899426,-0.002505335,0.002687019,-0.0004415363,359.7101,0.3111685,359.9481
2881,0.9899457,-0.00181129,0.00205512,0.0001020133,359.7903,0.2378701,0.01137332
2882,0.9899475,-0.001475209,0.001223451,0.0004408896,359.8292,0.141545,0.05082425
