frame,w,x,y,z,euler_x,euler_y,euler_z
4352,0.9815843,0.1258824,0.02335526,-0.01001782,14.63433,2.619035,359.1669
4353,0.9819061,0.1232411,0.02399204,-0.009803754,14.32618,2.698229,359.1951
4354,0.9821885,0.1206061,0.02582252,-0.009634107,14.01988,2.917931,359.2349
4355,0.9824505,0.1184536,0.02573231,-0.009880525,13.76961,2.903889,359.1983
4356,0.9830374,0.1137646,0.02505235,-0.008210614,13.21786,2.847029,359.3729
4357,0.9832796,0.1117122,0.02492998,-0.007738661,12.97735,2.838879,359.4211
4358,0.983848,0.1070287,0.02307584,-0.007425591,12.43005,2.624157,359.421
4359,0.9838616,0.1067673,0.02309949,-0.009127337,12.40416,2.60518,359.2201
4360,0.9848092,0.09715797,0.02571738,-0.007040882,11.28206,2.939536,359.4712
4361,0.9857639,0.08678161,0.02642187,-0.006345773,10.07436,3.029234,359.5294
4362,0.9868232,0.07565003,0.01981596,-0.008012971,8.782127,2.242528,359.2418
4363,0.9886322,0.04553767,0.02240643,-0.005527413,5.286175,2.572574,359.4781
4364,0.9891127,0.03186832,0.0249828,-0.004028025,3.700137,2.881648,359.6264
4365,0.9892482,0.02621781,0.02631752,-0.002797794,3.042732,3.041363,359.7567
4366,0.9893448,0.0217947,0.02676521,-0.002321127,2.52939,3.094917,359.7995
4367,0.9894859,0.01577277,0.02582661,-0.001431274,1.829553,2.988395,359.882
4368,0.9895383,0.01250652,0.02561186,-0.001146075,1.450678,2.964065,359.9048
4369,0.9895906,0.008751807,0.02516671,-0.0004664451,1.014124,2.913351,359.9718
4370,0.9896352,0.006042591,0.02419636,-0.0004497975,0.7005278,2.800966,359.9651
4371,0.9894435,-0.0112599,0.02954907,0.001176763,358.6931,3.420074,0.09726689
4372,0.9891383,-0.02766554,0.02881324,0.003127137,356.788,3.329528,0.2688994
4373,0.9888557,-0.03811776,0.02633956,0.004162541,355.5753,3.037485,0.3649944
4374,0.9884908,-0.04654994,0.02652889,0.003881493,354.5995,3.060231,0.3055988
4375,0.9875639,-0.06362282,0.02536331,0.005142641,352.6174,2.916017,0.4085533
4376,0.9864615,-0.07852124,0.02646719,0.005226588,350.8883,3.044762,0.364465
4377,0.9843026,-0.1009118,0.030356,0.00661374,348.2806,3.490654,0.4116001
4378,0.9818093,-0.1219406,0.03040782,0.01601052,345.799,3.367411,1.448914
4379,0.9784281,-0.1457562,0.03322402,0.01815139,343.0058,3.653633,1.579578
4380,0.9768926,-0.1557138,0.03376821,0.01713169,341.8431,3.733784,1.412556
4381,0.9645434,-0.2195116,0.03066592,0.02302199,334.3076,3.183977,2.008324
4382,0.9615947,-0.2324508,0.02796021,0.02281094,332.7759,2.839387,2.030145
4383,0.9597193,-0.2400563,0.02726523,0.02383756,331.8681,2.711851,2.166069
4384,0.9557196,-0.2548351,0.03121083,0.02616751,330.0853,3.125969,2.301423
4385,0.9478592,-0.2820807,0.03179725,0.03134051,326.7911,2.977949,2.899338
4386,0.9362091,-0.3180269,0.02935886,0.03884886,322.4134,2.233281,3.992292
4387,0.9266697,-0.3447132,0.0266544,0.04177851,319.1424,1.592315,4.569696
4388,0.9216595,-0.3580157,0.03118926,0.03735454,317.485,2.439337,3.69272
4389,0.9173499,-0.3690758,0.03144256,0.03554537,316.1126,2.552121,3.40961
4390,0.9120033,-0.3820623,0.02953522,0.03749677,314.4905,2.104528,3.82596
4391,0.9068334,-0.3938015,0.02835537,0.04206242,313.0099,1.568581,4.62948
4392,0.9040092,-0.3999996,0.02681512,0.04525982,312.2308,1.067766,5.25948
4393,0.9003713,-0.4081003,0.02261676,0.04768851,311.2289,0.1599921,5.991193
4394,0.8952623,-0.4192577,0.02084827,0.04789145,309.821,359.7418,6.245062
4395,0.8845185,-0.4412016,0.02163935,0.0499966,306.9997,359.433,6.752997
4396,0.8649864,-0.4781943,0.02274793,0.05109859,302.165,358.9548,7.338992
4397,0.8568563,-0.4922642,0.02535209,0.05320238,300.2804,358.9642,7.700564
4398,0.8526931,-0.4994112,0.0228565,0.054593,299.3529,358.1451,8.411654
4399,0.8537971,-0.4975474,0.02067846,0.05521926,299.6251,357.6767,8.752517
4400,0.8486583,-0.5061222,0.02179568,0.0560739,298.469,357.575,9.004273
4401,0.843156,-0.5155331,0.02484778,0.05192039,297.1613,358.51,7.957685
4402,0.8387954,-0.5226995,0.02606827,0.05027694,296.1756,358.8299,7.589007
4403,0.8359469,-0.5274493,0.02449063,0.04888678,295.5406,358.5591,7.602233
4404,0.8327309,-0.5323466,0.02300353,0.0513511,294.8913,357.7267,8.508866
4405,0.830513,-0.5357594,0.02078769,0.05270274,294.4521,356.8992,9.258657
4406,0.8269889,-0.541192,0.02054207,0.05271136,293.7094,356.6425,9.486912
4407,0.8210307,-0.5503184,0.02304037,0.0502718,292.4126,357.3159,8.804274
4408,0.8167849,-0.5565352,0.02565066,0.04972802,291.5189,357.8559,8.427445
4409,0.8134145,-0.5613869,0.02551631,0.0504988,290.8446,357.5038,8.825768
4410,0.815841,-0.5580598,0.02274401,0.04954978,291.3365,357.0754,8.948741
4411,0.8205966,-0.5511398,0.02276483,0.04845486,292.2958,357.526,8.418215
4412,0.8223554,-0.5484821,0.02649376,0.04686988,292.6255,358.8084,7.318351
4413,0.8239038,-0.5461854,0.02716755,0.04610607,292.9372,359.1602,6.962459
4414,0.8228528,-0.5479133,0.02676935,0.04458069,292.6995,359.273,6.686225
4415,0.8240771,-0.5463068,0.02858172,0.04035531,292.9085,0.4527406,5.306921
4416,0.8240157,-0.5465221,0.02828528,0.0388781,292.8815,0.619439,4.991647
4417,0.8241525,-0.5463098,0.02788986,0.03924635,292.9131,0.4639705,5.145156
4418,0.8241687,-0.546231,0.02737283,0.04034953,292.9269,0.1559839,5.502294
4419,0.8227604,-0.5482599,0.02626053,0.04226935,292.6536,359.5238,6.199222
4420,0.8226003,-0.5484548,0.02668957,0.0425855,292.6235,359.574,6.211012
4421,0.8239551,-0.5464847,0.0283179,0.04062632,292.8854,0.3400732,5.419954
4422,0.824548,-0.5456405,0.02749725,0.04050664,293.008,0.1707432,5.511893
4423,0.8262866,-0.5432838,0.02649673,0.03729476,293.342,0.4817061,4.851854
4424,0.8272563,-0.5419297,0.02804286,0.03424279,293.5247,1.35985,3.849445
4425,0.8277868,-0.5410837,0.02860446,0.03434036,293.639,1.486649,3.778911
4426,0.8310372,-0.5361733,0.02575843,0.03509526,294.3294,0.7348599,4.362175
4427,0.8334915,-0.5324071,0.02655664,0.03360453,294.845,1.181014,3.862925
4428,0.8338309,-0.5317276,0.02893733,0.03397647,294.9271,1.68224,3.593474
4429,0.8350297,-0.5299895,0.02880903,0.03172281,295.1709,1.99184,3.086401
4430,0.8375694,-0.5261056,0.02894212,0.02920068,295.7088,2.393869,2.488997
4431,0.8404548,-0.5213496,0.03180939,0.02860312,296.3521,3.115767,1.964425
4432,0.8416697,-0.5194057,0.03064064,0.02950956,296.6165,2.731529,2.329339
4433,0.8450024,-0.5139198,0.03073815,0.03020707,297.3587,2.659798,2.475986
4434,0.8490106,-0.5073144,0.02970879,0.03050109,298.2537,2.408947,2.674655
4435,0.8561301,-0.4953611,0.02987714,0.02767779,299.8669,2.787827,2.08925
4436,0.8602486,-0.4883798,0.03028474,0.02324338,300.8133,3.357691,1.188151
4437,0.8612116,-0.4865388,0.03281016,0.02275524,301.0573,3.89812,0.8236157
4438,0.862609,-0.4838486,0.03502179,0.02386472,301.4071,4.191463,0.816938
4439,0.8649828,-0.4796211,0.0358691,0.02194032,301.9763,4.531876,0.3918
4440,0.8658042,-0.4781721,0.03567839,0.02148489,302.1703,4.53249,0.3384908
4441,0.8673903,-0.4754201,0.03348625,0.02209759,302.532,4.034584,0.7060741
4442,0.8684235,-0.473511,0.03350715,0.02247271,302.782,3.989266,0.7882404
