frame,w,x,y,z,euler_x,euler_y,euler_z
7850,0.9768286,0.04029982,0.1554298,-0.004811191,4.695772,18.08938,0.1835049
7851,0.9759164,0.04394524,0.1601548,-0.002477214,5.067767,18.66315,0.542403
7852,0.9757896,0.0402635,0.1618279,-0.005031011,4.694485,18.84052,0.1884867
7853,0.9760736,0.03748711,0.1606995,-0.007102153,4.416322,18.69436,359.8935
7854,0.9758731,0.03880813,0.16169,-0.004667789,4.5213,18.82342,0.2017148
7855,0.9719198,0.07757231,0.1712796,-0.004203513,8.936213,20.07413,1.089169
7856,0.9708216,0.08572582,0.1735853,-0.004960081,9.881033,20.37828,1.194755
7857,0.9701297,0.0921022,0.173999,-0.009466296,10.70257,20.41278,0.8142454
7858,0.9696107,0.09724668,0.1741792,-0.00772143,11.25502,20.47884,1.126917
7859,0.9657425,0.1206113,0.180649,-0.01264802,14.02682,21.33224,1.153923
7860,0.9637771,0.1273074,0.1863463,-0.01419333,14.82085,22.04424,1.214962
7861,0.9612315,0.1358037,0.1934506,-0.01295722,15.75481,22.99018,1.678859
7862,0.9581858,0.1562605,0.1927459,-0.01765129,18.21043,23.0079,1.625736
7863,0.9574558,0.1599366,0.1932638,-0.01864516,18.65498,23.08853,1.611757
7864,0.9546081,0.1653504,0.2027033,-0.01714526,19.22174,24.3362,2.124242
7865,0.9547586,0.1643582,0.2028999,-0.01593208,19.07752,24.37259,2.244581
7866,0.9462432,0.1950739,0.2146042,-0.02269671,22.74616,26.07679,2.585777
7867,0.9413953,0.2129424,0.2190948,-0.02067621,24.73067,26.97101,3.502563
7868,0.9379101,0.2299111,0.2165095,-0.02426862,26.79481,26.84093,3.541252
7869,0.9322545,0.2477391,0.2203909,-0.03090113,29.02801,27.49547,3.451185
7870,0.9245042,0.269222,0.2272401,-0.03425769,31.59018,28.76588,4.053802
7871,0.9176741,0.2902927,0.2279504,-0.04053233,34.23008,29.16338,4.10163
7872,0.91609,0.2934239,0.2302742,-0.04068533,34.58978,29.56153,4.307282
7873,0.9042375,0.328045,0.229726,-0.0443463,38.76735,30.37374,5.295582
7874,0.8920249,0.3578906,0.2309203,-0.0536794,42.59585,31.18459,5.530029
7875,0.8860071,0.3702026,0.2323506,-0.06288427,44.36373,31.41346,4.962152
7876,0.872187,0.399891,0.2349876,-0.06448047,47.96347,33.09763,6.603311
7877,0.8621851,0.4217012,0.2330486,-0.06703195,50.70452,33.80671,7.495743
7878,0.8528204,0.4393694,0.2331936,-0.07261275,53.05923,34.54026,7.911233
7879,0.8432013,0.4595343,0.2265791,-0.08063147,55.89997,34.09595,7.55786
7880,0.8434458,0.4587454,0.227253,-0.08067134,55.79797,34.16239,7.554109
7881,0.8341904,0.4737235,0.2300489,-0.08239931,57.68977,35.70993,8.83871
7882,0.8278067,0.4868893,0.2242238,-0.08601303,59.53187,35.34559,8.790508
7883,0.8093033,0.5188918,0.2150963,-0.09753469,64.13668,35.28382,8.793426
7884,0.8018622,0.5300935,0.2138192,-0.1014853,65.74943,35.77551,9.139378
7885,0.8019559,0.5300587,0.2139112,-0.1007305,65.71233,35.89064,9.309646
7886,0.8006451,0.5321552,0.214201,-0.09947903,65.92501,36.38011,9.892557
7887,0.803559,0.5291631,0.2128604,-0.09470811,65.35726,36.29158,10.30094
7888,0.7993211,0.5359832,0.2111199,-0.09610367,66.31092,36.5509,10.63693
7889,0.7875758,0.5537665,0.207799,-0.09943053,68.7858,37.76814,11.96643
7890,0.7699919,0.5789044,0.2004125,-0.1087051,72.58431,38.54465,12.73019
7891,0.7596131,0.5928555,0.1960109,-0.1144106,74.75927,39.00086,13.14734
7892,0.7570549,0.5957146,0.1956439,-0.1171124,75.27229,38.97216,12.93638
7893,0.7564535,0.5965831,0.1952216,-0.1172826,75.40277,38.99514,12.9846
7894,0.75494,0.5985022,0.1956469,-0.1165457,75.61382,39.81196,13.834
7895,0.7544333,0.5996662,0.1945495,-0.1156773,75.74524,39.90812,14.10034
7896,0.7544259,0.5998459,0.193646,-0.1163075,75.81604,39.47076,13.68814
7897,0.7533032,0.6009306,0.1942017,-0.1170563,75.98582,39.79694,13.90875
7898,0.754135,0.599905,0.1939938,-0.1173063,75.86586,39.38544,13.49029
7899,0.7493091,0.60557,0.1962693,-0.1153222,76.46598,42.33769,16.43463
7900,0.7483194,0.6065962,0.1978522,-0.1136375,76.47493,43.66671,17.7725
7901,0.7440192,0.612235,0.1972718,-0.1126389,77.1536,45.58031,19.83755
7902,0.7399204,0.6166367,0.1989569,-0.1126629,77.65884,47.92779,22.05342
7903,0.7394163,0.616776,0.200259,-0.1129022,77.65164,48.46469,22.45992
7904,0.7373645,0.6200546,0.198076,-0.1122131,78.07938,49.07747,23.32571
7905,0.7371672,0.6232445,0.1908108,-0.1083599,78.4699,48.29749,23.49228
7906,0.7373945,0.6208335,0.1949702,-0.1131439,78.323,47.85022,22.28775
7907,0.7311679,0.6283775,0.1873715,-0.1242057,80.11263,44.47918,18.66319
7908,0.7319081,0.6279783,0.1835851,-0.1274769,80.32118,41.24733,15.47883
7909,0.7325492,0.6276181,0.1824411,-0.1272091,80.28247,40.58588,14.93558
7910,0.7311788,0.6292816,0.1822365,-0.1271683,80.50871,41.20074,15.57545
7911,0.7311192,0.6295698,0.1812631,-0.1274764,80.58356,40.69235,15.12449
7912,0.7310813,0.6295362,0.1792896,-0.1306118,80.77278,38.44283,12.78063
7913,0.7323991,0.6282799,0.1754812,-0.1343953,80.82847,34.36396,8.704885
7914,0.7327471,0.6286292,0.1715304,-0.1359562,80.98479,31.59142,6.136379
7915,0.7294924,0.6316715,0.1733401,-0.1370596,81.45235,33.19521,7.503105
7916,0.7267022,0.6345417,0.1736468,-0.1382299,81.91202,33.92597,8.117154
7917,0.7246673,0.6373123,0.1708994,-0.1395828,82.3987,32.56456,6.88071
7918,0.722752,0.6397654,0.1689983,-0.1406033,82.81611,31.69088,6.087265
7919,0.720872,0.6414152,0.1693533,-0.1422996,83.12559,31.68875,5.916934
7920,0.7203012,0.6418826,0.1696316,-0.1427514,83.21075,31.83661,6.004547
7921,0.7201397,0.6424543,0.1690819,-0.1416424,83.25244,32.29994,6.607947
7922,0.7199438,0.6428083,0.1683665,-0.1418835,83.32077,31.77455,6.123359
7923,0.7192101,0.6437874,0.1685639,-0.1409276,83.4215,32.91683,7.330728
7924,0.7171847,0.6457987,0.1688364,-0.1417186,83.74649,33.63624,7.964887
7925,0.716047,0.6471137,0.1689449,-0.141343,83.91933,34.64532,8.998527
7926,0.7153797,0.6481509,0.168863,-0.1400629,84.01087,35.95541,10.42419
7927,0.7100247,0.6533733,0.1700234,-0.1416341,84.81159,39.49239,13.7405
7928,0.7072499,0.655857,0.172013,-0.1416361,85.112,43.54426,17.628
7929,0.7030736,0.6603555,0.1719136,-0.1416467,85.71371,48.2702,22.36693
7930,0.700861,0.6626801,0.1718966,-0.1417757,86.01862,51.22495,25.31483
7931,0.6979506,0.6659593,0.1714077,-0.1413589,86.40691,56.12222,30.29112
7932,0.6940041,0.6701157,0.1710961,-0.1415253,86.88812,63.97527,38.15961
7933,0.6910647,0.6730608,0.1717114,-0.1411871,87.09896,72.3858,46.5481
7934,0.6880131,0.6766961,0.170511,-0.1401656,87.34879,82.3724,56.72271
7935,0.6879748,0.6775966,0.1689362,-0.1378919,87.32043,84.17859,58.85181
7936,0.6874514,0.6785285,0.1692577,-0.1355046,87.14207,87.76941,62.615
7937,0.6841442,0.6823702,0.1685401,-0.1338355,87.15546,99.5508,74.59666
7938,0.682696,0.6840668,0.1665669,-0.1350337,87.41647,104.9331,80.04529
7939,0.6819428,0.6850151,0.1641388,-0.136991,87.76358,108.8801,84.03339
7940,0.6817144,0.6854732,0.1627775,-0.1374595,87.90482,110.8303,86.05891
7941,0.6813292,0.6860356,0.1618692,-0.1376365,87.97938,113.3458,88.63609
7942,0.6847768,0.6832362,0.1575164,-0.1394901,88.51906,97.36469,72.86616
7943,0.6849824,0.6831872,0.1569804,-0.1393249,88.54734,96.414,71.97433
7944,0.6872773,0.6805999,0.1575013,-0.1400959,88.47402,81.28522,56.73705
7945,0.686685,0.6810389,0.1566055,-0.141861,88.7076,81.35667,56.73633
7946,0.6858234,0.6824206,0.1544504,-0.1417515,88.92389,87.21433,62.78409
7947,0.6826015,0.6862463,0.152294,-0.141165,89.04141,120.2343,96.03391
7948,0.680838,0.6882464,0.1489776,-0.1434646,89.24385,155.4025,131.2877
7949,0.6783289,0.6907983,0.1456355,-0.1464852,88.97684,195.9424,171.8541
7950,0.6775075,0.6922067,0.1426747,-0.1465512,88.75573,206.697,182.8505
7951,0.6740159,0.6953682,0.1406598,-0.1496009,88.10493,214.6886,190.7535
7952,0.672411,0.6966636,0.1371152,-0.1540214,87.5799,226.8851,202.8746
7953,0.6707509,0.698867,0.1348064,-0.1533143,87.24452,225.2354,201.4757
7954,0.6691311,0.7009074,0.1423787,-0.1439466,87.39563,194.6291,171.0203
7955,0.6658327,0.7039825,0.1385409,-0.1479249,86.78399,205.631,182.0072
7956,0.6502644,0.7183061,0.1364667,-0.1502306,84.31549,203.2675,179.6043
7957,0.6457917,0.7221435,0.1353733,-0.1521042,83.59889,204.2281,180.4916
7958,0.6418945,0.7255191,0.1349333,-0.1529265,82.99423,204.031,180.255
7959,0.6384122,0.7288374,0.132827,-0.1535668,82.40085,204.7484,181.0873
7960,0.6337136,0.7331287,0.129523,-0.1554126,81.58382,206.3721,182.8213
7961,0.6295363,0.7368945,0.1271558,-0.1565303,80.87997,207.0309,183.5737
7962,0.6280729,0.7388294,0.126398,-0.1538795,80.64915,205.5227,182.3474
7963,0.6286979,0.7385135,0.1272939,-0.1520957,80.7751,204.2761,181.1773
