frame,w,x,y,z,euler_x,euler_y,euler_z
5001,0.9211647,-0.3596593,0.03096637,0.03378857,317.2915,2.606279,3.182226
5002,0.919057,-0.3651374,0.02936637,0.03385707,316.6155,2.354014,3.283005
5003,0.9169918,-0.3702361,0.0296397,0.03424442,315.9779,2.358686,3.323742
5004,0.9120824,-0.3818487,0.03473156,0.03303087,314.5114,3.181581,2.814036
5005,0.8990141,-0.4113459,0.03399794,0.03757869,310.7721,2.705905,3.547289
5006,0.8946706,-0.420803,0.0323323,0.0379957,309.5712,2.375507,3.744973
5007,0.8908831,-0.4287179,0.03283374,0.03807989,308.5545,2.42569,3.726393
5008,0.8843207,-0.4422595,0.03409365,0.03494253,306.8132,2.869002,3.08905
5009,0.8731253,-0.4636322,0.03694727,0.0365004,304.0148,3.207461,3.082408
5010,0.8657538,-0.4769141,0.02999097,0.04608433,302.2794,0.872885,5.612916
5011,0.8612171,-0.4850174,0.02896495,0.04716014,301.2129,0.4674414,6.005437
5012,0.8544229,-0.4966058,0.03501478,0.04602177,299.6307,1.670618,5.194515
5013,0.8442947,-0.5138649,0.03522544,0.04322546,297.3118,1.918968,4.692797
5014,0.836996,-0.5258577,0.03085176,0.0442657,295.7057,0.6861883,5.623459
5015,0.8279958,-0.5397637,0.02359116,0.05021479,293.8647,357.8114,8.366115
5016,0.8218421,-0.5487974,0.02847203,0.05085476,292.5696,358.626,7.998662
5017,0.8151887,-0.5584966,0.02985032,0.05155273,291.2063,358.5587,8.223981
5018,0.8130769,-0.5615671,0.03028453,0.0512949,290.7716,358.6211,8.171515
5019,0.8107662,-0.5648244,0.03220171,0.05093439,290.2949,359.1029,7.814204
5020,0.8071517,-0.5699599,0.03351312,0.05028639,289.5577,359.4373,7.527245
5021,0.801966,-0.577195,0.03553749,0.04933317,288.5128,0.009204143,7.033638
5022,0.7946315,-0.5873982,0.0339664,0.04868425,287.0681,359.3601,7.484797
5023,0.789519,-0.5943399,0.03374689,0.04775745,286.0693,359.2648,7.476451
5024,0.7851419,-0.6000547,0.03760379,0.04552278,285.2081,0.9843236,5.884155
5025,0.7805035,-0.6061386,0.03680408,0.04533753,284.3264,0.5882832,6.191944
5026,0.7792431,-0.6079791,0.03391366,0.044625,284.081,359.6616,6.819165
5027,0.7776692,-0.6100724,0.03483846,0.04276122,283.7664,0.4940146,5.907046
