frame,w,x,y,z
0,1,0,0,0
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,0,0
43,1,0,0,0
44,1,0,0,0
45,1,0,0,0
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,0
50,1,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,1,0,0,0
64,1,0,0,0
65,1,0,0,0
66,1,0,0,0
67,1,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,1,0,0,0
73,1,0,0,0
74,1,0,0,0
75,1,0,0,0
76,1,0,0,0
77,1,0,0,0
78,1,0,0,0
79,1,0,0,0
80,1,0,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,1,0,0,0
85,1,0,0,0
86,1,0,0,0
87,1,0,0,0
88,1,0,0,0
89,1,0,0,0
90,1,0,0,0
91,1,0,0,0
92,1,0,0,0
93,1,0,0,0
94,1,0,0,0
95,1,0,0,0
96,1,0,0,0
97,1,0,0,0
98,1,0,0,0
99,1,0,0,0
100,1,0,0,0
101,1,0,0,0
102,1,0,0,0
103,1,0,0,0
104,1,0,0,0
105,1,0,0,0
106,1,0,0,0
107,1,0,0,0
108,1,0,0,0
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,1,0,0,0
115,1,0,0,0
116,1,0,0,0
117,1,0,0,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,1,0,0,0
122,1,0,0,0
123,1,0,0,0
124,1,0,0,0
125,1,0,0,0
126,1,0,0,0
127,1,0,0,0
128,1,0,0,0
129,1,0,0,0
130,1,0,0,0
131,1,0,0,0
132,1,0,0,0
133,1,0,0,0
134,1,0,0,0
135,1,0,0,0
136,1,0,0,0
137,1,0,0,0
138,1,0,0,0
139,1,0,0,0
140,1,0,0,0
141,1,0,0,0
142,1,0,0,0
143,1,0,0,0
144,1,0,0,0
145,1,0,0,0
146,1,0,0,0
147,1,0,0,0
148,1,0,0,0
149,1,0,0,0
150,8.986581718674505e-07,-3.8973085690421667e-25,-1.588153241884683e-23,-3.1178468552337334e-24
151,1.0955608727141538e-05,-6.6621485945599965e-12,1.322802259911954e-12,-3.338112676435018e-11
152,6.650851120290178e-05,-8.783475049580655e-11,1.7452471400183735e-11,-4.4015024995082727e-10
153,0.00027124357254647595,-5.802829893622161e-10,1.1539467212977021e-10,-2.908234251812534e-09
154,0.0008452552347389322,-2.587108474662478e-09,5.149446666182681e-10,-1.2967794221795706e-08
155,0.0021664554615655105,-8.835415860530658e-09,1.7604150452191662e-09,-4.4294212591609825e-08
156,0.004789908932697723,-2.4834999773032873e-08,4.953739046131407e-09,-1.24525631694389e-07
157,0.009439134133004515,-6.017229504712554e-08,1.2016604223542327e-08,-3.0176672335966666e-07
158,0.016970453339138682,-1.2973078776194643e-07,2.594041595404674e-08,-6.50733486795671e-07
159,0.028315801848131088,-2.546385553389531e-07,5.098438113905354e-08,-1.277539807966736e-06
160,0.04441164613997218,-4.627850961522504e-07,9.278986805458543e-08,-2.3223329585890205e-06
161,0.06612234747618713,-7.888074213810269e-07,1.583903809369267e-07,-3.959273727869712e-06
162,0.09416589233444377,-1.2735078902436037e-06,2.561087102735807e-07,-6.393669342552957e-06
163,0.1290487671985042,-1.9627252710110226e-06,3.953444621410323e-07,-9.856362673351744e-06
164,0.17101518547959016,-2.905730623896665e-06,5.862651577266726e-07,-1.4595732465608327e-05
165,0.22001411861935818,-4.1532577306727766e-06,8.394217960583575e-07,-2.08678508861532e-05
166,0.2756858256113285,-5.755302642353005e-06,1.1653149091885248e-06,-2.8925469960472246e-05
167,0.3373679500696807,-7.75883855583207e-06,1.5739396999534927e-06,-3.9006567766091885e-05
168,0.40411985393084854,-1.0205591737488161e-05,2.074339026733636e-06,-5.132318383780889e-05
169,0.47476273822571186,-1.3130013338595065e-05,2.6741911126576e-06,-6.605121981925725e-05
170,0.5479322905066503,-1.6557562851974234e-05,3.3794553175058506e-06,-8.332178670054786e-05
171,0.6221400976531408,-2.0503393980735338e-05,4.19409456819625e-06,-0.00010321455567332667
172,0.6958398552379209,-2.4971505167657012e-05,5.119887551601252e-06,-0.00012575342739118057
173,0.7674944597437302,-2.9954387167566048e-05,6.1563379615972105e-06,-0.00015090468524074868
174,0.8356403474072766,-3.5433170792312616e-05,7.300682346672716e-06,-0.00017857765190396838
175,0.8989458973420795,-4.13782509638803e-05,8.547992752807142e-06,-0.00020862773327202846
176,0.9562612984996797,-4.7750339768723195e-05,9.891365659470089e-06,-0.00024086161615073228
177,1.006657942066885,-5.450188224099402e-05,1.1322184854741799e-05,-0.00027504429083707784
178,1.0494560979023893,-6.157875467768162e-05,1.2830443008909088e-05,-0.00031090749940473834
179,1.084240324934924,-6.892215662972483e-05,1.4405104838439503e-05,-0.0003481591665749414
180,1.1108627162077147,-7.64706042417191e-05,1.603449389822849e-05,-0.00038649335201521826
181,1.1294346611934534,-8.416193399256785e-05,1.7706685142327664e-05,-0.0004256002691540704
182,1.140308299857004,-9.19352315766496e-05,1.9409886353091797e-05,-0.00046517594343577424
183,1.1440492304833763,-9.973260996205301e-05,2.1132793225348822e-05,-0.0005049311289017596
184,1.14140230904649,-0.00010750077277068495,2.286490515402999e-05,-0.0005445991620988161
185,1.1332525406190748,-0.00011519231319613602,2.4596791447530796e-05,-0.0005839425023493251
186,1.1205831172466594,-0.00012276671385716003,2.6320300609477444e-05,-0.0006227577831207408
187,1.1044326106627695,-0.00013019102846276317,2.8028708338922256e-05,-0.0006608792765268609
188,1.085853194678611,-0.00013744024119557253,2.971680284625856e-05,-0.000698180748158566
189,1.0658715661439153,-0.00014449731365732082,3.138090884029223e-05,-0.0007345757492367824
190,1.0454539717944304,-0.000151352941534371,3.301885400381112e-05,-0.0007700164548443759
191,1.025476448524993,-0.00015800505343050125,3.462988385792581e-05,-0.0008044912087022715
192,1.0067010639467258,-0.000164458092309157,3.621453256217469e-05,-0.000838020975243427
193,0.9897586188862195,-0.00017072212554865342,3.777445837597506e-05,-0.0008706549278914389
194,0.9751379586162862,-0.000176811832724471,3.931225320959236e-05,-0.0009024654183662875
195,0.9631817479088872,-0.00018274542098622543,4.083123593338198e-05,-0.0009335425759682991
196,0.9540883069497373,-0.00018854351648110046,4.2335238925568505e-05,-0.000963988779057653
197,0.9479188886690035,-0.00019422807695495417,4.38283967697203e-05,-0.0009939132246599251
198,0.9446096084117194,-0.00019982136575832468,4.5314945123600706e-05,-0.001023426797884621
199,0.9439871168047177,-0.00020534502135559097,4.679903663942014e-05,-0.0010526374124276625
200,0.9457870364615387,-0.00021081924945765937,4.828457949403421e-05,-0.0010816459587156568
201,0.949674160911113,-0.00021626215744738705,4.9775102659303615e-05,-0.0011105429591152958
202,0.9552634360790565,-0.00022168924320156017,5.127365057802126e-05,-0.0011394059918707863
203,0.9621408055183736,-0.0002271130430623,5.278270847453575e-05,-0.0011682979086916699
204,0.9698830939756432,-0.00023254293686159446,5.4304158178871437e-05,-0.0011972658366337498
205,0.9780762226463409,-0.0002379851017930913,5.5839263126892194e-05,-0.0012263409242922962
206,0.9863311861169212,-0.00024344260173857484,5.738868015461057e-05,-0.0012555387662825889
207,0.9942973680067094,-0.00024891559451900396,5.895249485888508e-05,-0.001284860419157666
208,1.0016729225201988,-0.00025440163652139946,6.0530276665266785e-05,-0.0013142939066640722
209,1.0082120958984129,-0.0002598960622692027,6.212114933189645e-05,-0.0013438161026514924
210,1.0137294993216281,-0.00026539241572187146,6.372387242164584e-05,-0.001373394875873673
211,1.0181014683389351,-0.0002708829103335493,6.533692928012564e-05,-0.0014029913819737763
212,1.0212647496303333,-0.00027635889605947633,6.695861724458797e-05,-0.0014325623935876719
213,1.0232128412139603,-0.0002818113134341492,6.858713615239508e-05,-0.001462062569037654
214,1.023990375582922,-0.0002872311174002692,7.022067168792592e-05,-0.001491446572746594
215,1.0236859762497115,-0.0002926096565752761,7.185747067156594e-05,-0.0015206709754465757
216,1.0224240373266926,-0.00029793899693363474,7.349590602105075e-05,-0.001549695878642627
217,1.020355874470817,-0.0003032121822940309,7.513452977189453e-05,-0.0015784862248016962
218,1.0176506758736739,-0.00030842342737870973,7.6772113199883e-05,-0.0016070127716062135
219,1.0144866466399909,-0.00031356824242145104,7.840767371761778e-05,-0.0016352527246593438
220,1.0110426919096176,-0.0003186434912258766,8.00404887956817e-05,-0.0016631900376767425
221,1.0074909266998253,-0.0003236473871250012,8.167009766838631e-05,-0.0016908154019847352
222,1.003990236997518,-0.00032857943339907445,8.329629201025213e-05,-0.0017181259577284977
223,1.0006810503523058,-0.0003334403163298134,8.491909710320292e-05,-0.0017451247673623757
224,0.9976814081393129,-0.00033823176018739825,8.653874525151625e-05,-0.0017718200976558158
225,0.9950843684885635,-0.00034295635406698493,8.815564334190372e-05,-0.0017982245596233517
226,0.9929567109340045,-0.0003476173606389633,8.97703364937308e-05,-0.0018243541565972918
227,0.9913388629862737,-0.0003522185165937727,9.138346970678882e-05,-0.0018502272893142857
228,0.9902459264624951,-0.0003567638339033586,9.299574930143257e-05,-0.0018758637636571345
229,0.9896696484052864,-0.0003612574100527675,9.460790577058905e-05,-0.001901283841906297
230,0.9895811582046372,-0.00036570325418856694,9.622065943876581e-05,-0.0019265073723681721
231,0.9899342790659489,-0.0003701051347599423,9.78346900640265e-05,-0.0019515530254294072
232,0.9906692178104897,-0.00037446645276690004,9.945061123922448e-05,-0.001976437656804976
233,0.9917164413743758,-0.00037879014324771864,0.00010106895016225948,-0.0020011758113511833
234,0.9930005602377912,-0.00038307860619810297,0.00010269013306430595,-0.0020257793736209637
235,0.9944440571132144,-0.0003873336667726637,0.00010431447632089597,-0.0020502573646249034
236,0.9959707221651773,-0.0003915565634209317,0.00010594218303264625,-0.002074615878256358
237,0.9975086823800222,-0.00039574796159009586,0.00010757334465750851,-0.0020988581457190903
238,0.9989929410139581,-0.00039990798980904876,0.0001092079471097897,-0.002122984712182666
239,1.0003673719483561,-0.00040403629436633326,0.00011084588061582601,-0.0021469937068519717
240,1.0015861420151009,-0.0004081321084111082,0.00011248695253308222,-0.0021708811856887807
241,1.0026145608201944,-0.00041219433113486156,0.00011413090229770818,-0.0021946415251346205
242,1.003429381374654,-0.00041622161271772393,0.00011577741766272544,-0.0022182678452838133
243,1.0040185952266794,-0.00042021244092560884,0.00011742615142117975,-0.0022417524419384004
244,1.004380782280048,-0.0004241652255966387,0.0001190767378708717,-0.0022650872087116953
245,1.0045240877949102,-0.0004280783777274852,0.00012072880836400712,-0.002288264032685729
246,1.0044649071151703,-0.0004319503804305448,0.0001223820053901997,-0.0023112751499111774
247,1.004226362553252,-0.0004357798496490414,0.00012403599475847705,-0.002334113450105722
248,1.0038366568521948,-0.00043956558315795573,0.00012569047556719006,-0.002356772723101984
249,1.003327384135202,-0.0004433065970150309,0.00012734518777427538,-0.0023792478427736743
250,1.0027318727468701,-0.00044700214923207646,0.0001289999172990236,-0.0024015348871984647
251,1.0020836254641388,-0.0004506517509903644,0.00013065449869593124,-0.0024236311965877963
252,1.0014149118257736,-0.00045425516620748135,0.00013230881553777502,-0.002445535372938825
253,1.0007555554259786,-0.0004578124006636699,0.00013396279872605278,-0.0024672472273768627
